Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Seeds
1,0.41485714285714287,0.4381904761904762,0.42757142857142855,"[66144, 74104, 64030, 23991, 65774, 72519]"
2,0.4856190476190476,0.5022857142857143,0.48123809523809524,"[53286, 9666, 41300, 32627, 67408, 13984]"
3,0.4868571428571429,0.5068095238095238,0.4674285714285714,"[19627, 77053, 6075, 93761, 33885, 35458]"
4,0.49204761904761907,0.5057619047619047,0.4960952380952381,"[68554, 73753, 47935, 2491, 69982, 1177]"
5,0.5487619047619048,0.521,0.49633333333333335,"[76787, 44796, 3468, 93279, 46509, 56586]"
6,0.48314285714285715,0.49633333333333335,0.3953333333333333,"[4364, 61834, 55327, 84308, 73692, 59461]"
7,0.5519047619047619,0.5222380952380953,0.5099047619047619,"[16841, 67465, 98128, 46584, 1582, 68754]"
8,0.5022380952380953,0.49347619047619046,0.5235238095238095,"[78203, 5140, 36788, 5053, 14201, 67323]"
9,0.5101904761904762,0.4643809523809524,0.4976190476190476,"[29175, 84221, 39829, 6824, 66109, 6212]"
10,0.5134761904761905,0.4726190476190476,0.5073333333333333,"[71275, 10411, 84674, 52185, 96600, 60826]"
11,0.5191904761904762,0.5021904761904762,0.5366190476190477,"[41315, 5290, 93937, 55910, 38845, 24852]"
12,0.4980476190476191,0.5481904761904762,0.5312857142857143,"[76943, 36863, 28785, 15564, 82802, 64278]"
13,0.4829047619047619,0.4685714285714286,0.496,"[27288, 95313, 30751, 13953, 31371, 35810]"
14,0.5192857142857142,0.5321904761904762,0.5020476190476191,"[21341, 26603, 33100, 8700, 90640, 35360]"
15,0.4806666666666667,0.46695238095238095,0.5032857142857143,"[18621, 81395, 12185, 19659, 97074, 96996]"
16,0.4154285714285714,0.4960952380952381,0.47895238095238096,"[70478, 45833, 88435, 92171, 61881, 47887]"
17,0.5035238095238095,0.5270952380952381,0.471,"[51526, 17759, 57413, 91836, 91024, 66555]"
18,0.4799047619047619,0.4582380952380952,0.4277619047619048,"[14575, 85388, 54203, 31865, 8957, 89295]"
19,0.5021904761904762,0.5096666666666667,0.5199523809523809,"[21657, 94333, 85047, 91063, 71049, 73093]"
20,0.5230952380952381,0.4876666666666667,0.4936190476190476,"[44349, 20311, 97154, 68755, 83542, 37539]"
21,0.4764761904761905,0.497952380952381,0.4799047619047619,"[73076, 4881, 59539, 23337, 27416, 50098]"
22,0.48795238095238097,0.4885238095238095,0.4817142857142857,"[10974, 78488, 46477, 32008, 62206, 36228]"
23,0.5117619047619048,0.5511904761904762,0.5276190476190477,"[93874, 39662, 22197, 51294, 98551, 47158]"
24,0.48923809523809525,0.48504761904761906,0.43547619047619046,"[25380, 46223, 14029, 93060, 91488, 12972]"
25,0.5422380952380952,0.5522380952380952,0.548,"[63394, 25262, 51942, 11720, 99094, 58688]"
26,0.49228571428571427,0.4735238095238095,0.48219047619047617,"[31586, 99453, 64129, 6976, 47177, 10309]"
27,0.45042857142857146,0.49304761904761907,0.5202380952380953,"[21015, 42570, 78142, 89593, 48098, 38401]"
28,0.46804761904761905,0.49942857142857144,0.492952380952381,"[31818, 53258, 8609, 65584, 9947, 39521]"
29,0.462,0.49604761904761907,0.5146190476190476,"[83113, 23285, 76801, 57914, 21957, 39578]"
30,0.4665238095238095,0.49228571428571427,0.5382380952380953,"[8592, 83187, 64374, 41628, 78136, 46163]"
31,0.5128095238095238,0.5302380952380953,0.4907142857142857,"[56667, 27952, 98495, 43129, 8193, 84668]"
32,0.4989523809523809,0.4825238095238095,0.47104761904761905,"[94252, 79935, 32569, 13552, 56505, 21038]"
33,0.5282380952380953,0.48704761904761906,0.5128095238095238,"[67809, 65936, 36097, 78757, 63321, 532]"
34,0.47819047619047617,0.48533333333333334,0.43966666666666665,"[23244, 10007, 18460, 46815, 59062, 64343]"
35,0.5139047619047619,0.48633333333333334,0.5116666666666667,"[18810, 16659, 37782, 46500, 68666, 33834]"
36,0.5328095238095238,0.5124761904761905,0.5451428571428572,"[90909, 69283, 21107, 49762, 79932, 73528]"
37,0.5295714285714286,0.493,0.5226190476190476,"[2711, 30629, 76460, 19754, 70071, 94120]"
38,0.49766666666666665,0.5214761904761904,0.5290476190476191,"[43845, 62643, 48019, 93256, 81013, 65533]"
39,0.47404761904761905,0.4564285714285714,0.4564761904761905,"[84567, 38838, 87962, 14828, 29667, 63208]"
40,0.42295238095238097,0.4734761904761905,0.5100476190476191,"[25356, 70600, 86243, 28755, 58322, 57650]"
41,0.49323809523809525,0.5389047619047619,0.5223333333333333,"[27502, 55600, 65921, 95208, 46119, 43468]"
42,0.45057142857142857,0.4671904761904762,0.47509523809523807,"[50602, 17022, 43692, 21049, 6331, 64887]"
43,0.5250952380952381,0.458,0.5131904761904762,"[92096, 8753, 8063, 19548, 77883, 69286]"
44,0.5481428571428572,0.5038571428571429,0.513,"[98328, 90674, 98640, 69933, 67826, 87228]"
45,0.46385714285714286,0.47214285714285714,0.5318571428571428,"[51348, 22478, 54028, 97702, 23303, 628]"
46,0.5506666666666666,0.5116190476190476,0.5086190476190476,"[97306, 58150, 90550, 53154, 57490, 28390]"
47,0.4646190476190476,0.4542380952380952,0.4710952380952381,"[83435, 95747, 64679, 83245, 86898, 76225]"
48,0.4742857142857143,0.48938095238095236,0.4786190476190476,"[37677, 79436, 66271, 52030, 32476, 4711]"
49,0.494952380952381,0.5086190476190476,0.4492857142857143,"[87613, 47923, 57813, 4577, 35196, 69693]"
50,0.5310952380952381,0.4709047619047619,0.45071428571428573,"[57618, 5692, 48355, 81893, 73430, 45577]"
51,0.4043333333333333,0.43514285714285716,0.4614285714285714,"[58591, 10281, 5664, 91416, 10518, 21691]"
52,0.45385714285714285,0.48,0.4708095238095238,"[3037, 93394, 10525, 73971, 77461, 41621]"
53,0.4969047619047619,0.5045238095238095,0.5237142857142857,"[7216, 92044, 58961, 68519, 72205, 33912]"
54,0.4581904761904762,0.46923809523809523,0.484,"[75452, 26993, 77834, 57772, 6921, 80770]"
55,0.4826666666666667,0.4766190476190476,0.5333809523809524,"[26999, 55203, 62321, 14366, 28311, 90483]"
56,0.5524761904761905,0.4982857142857143,0.45704761904761904,"[57694, 24745, 64835, 82410, 16886, 11659]"
57,0.5240952380952381,0.44166666666666665,0.44561904761904764,"[60928, 21580, 21997, 44105, 23486, 15055]"
58,0.4848571428571429,0.5232857142857142,0.49338095238095236,"[14294, 16935, 92000, 1233, 27875, 62598]"
59,0.49466666666666664,0.4840952380952381,0.49847619047619046,"[36993, 63893, 54425, 37715, 98538, 93624]"
60,0.45661904761904765,0.4576190476190476,0.47433333333333333,"[2439, 77654, 3393, 59869, 10860, 69752]"
61,0.4918571428571429,0.553,0.5072857142857143,"[31541, 35588, 57110, 88586, 74322, 33895]"
62,0.5405238095238095,0.526,0.48938095238095236,"[89325, 95340, 79831, 2202, 98064, 40358]"
63,0.5297619047619048,0.4803809523809524,0.5241428571428571,"[94422, 85945, 77201, 43638, 34559, 53268]"
64,0.4807619047619048,0.4493333333333333,0.48142857142857143,"[16399, 97246, 76226, 75961, 88893, 4522]"
65,0.4573809523809524,0.4909047619047619,0.5220476190476191,"[83071, 3160, 60549, 59201, 54363, 55459]"
66,0.5254761904761904,0.5341904761904762,0.5232857142857142,"[54823, 7046, 21238, 24017, 6380, 81985]"
67,0.49333333333333335,0.492,0.4826666666666667,"[23223, 45137, 24806, 28930, 24909, 52409]"
68,0.5156190476190476,0.5192380952380953,0.48638095238095236,"[67453, 92726, 15108, 51600, 45692, 10427]"
69,0.5044761904761905,0.46523809523809523,0.4471904761904762,"[18926, 15838, 82557, 43264, 68392, 71752]"
70,0.49357142857142855,0.497,0.5003809523809524,"[32647, 56466, 2909, 90468, 72564, 53211]"
71,0.5493809523809524,0.5019047619047619,0.5294285714285715,"[56328, 69873, 79083, 48010, 50200, 34869]"
72,0.4775714285714286,0.4580952380952381,0.4463809523809524,"[14443, 90216, 62784, 90588, 14975, 27989]"
73,0.5250952380952381,0.48833333333333334,0.530952380952381,"[37534, 8319, 67101, 30633, 31337, 92823]"
74,0.5230476190476191,0.5197619047619048,0.5028095238095238,"[35257, 9875, 88237, 31286, 49344, 63184]"
75,0.4931904761904762,0.5157619047619048,0.5569047619047619,"[52579, 97218, 78583, 88348, 11728, 69165]"
76,0.48938095238095236,0.4886190476190476,0.43152380952380953,"[92442, 34691, 86892, 69119, 49561, 85622]"
77,0.5033333333333333,0.5092857142857142,0.4877619047619048,"[78402, 93710, 84650, 75600, 48509, 26355]"
78,0.48942857142857144,0.5215238095238095,0.4867619047619048,"[58252, 97045, 86494, 37290, 16156, 8751]"
79,0.49814285714285716,0.4579047619047619,0.49004761904761907,"[53951, 97755, 74246, 77909, 61949, 22740]"
80,0.4930952380952381,0.43014285714285716,0.5020952380952381,"[52765, 80519, 94847, 29434, 97639, 6516]"
81,0.506,0.475,0.42428571428571427,"[96818, 41659, 31948, 40322, 89238, 81205]"
82,0.4870952380952381,0.48438095238095236,0.5067619047619047,"[77690, 39613, 31024, 55835, 74181, 29534]"
83,0.5099047619047619,0.5183809523809524,0.5038095238095238,"[56758, 17411, 40974, 9703, 71296, 36242]"
84,0.43042857142857144,0.43985714285714284,0.49885714285714283,"[63052, 58849, 86374, 77805, 9936, 12545]"
85,0.44247619047619047,0.5289047619047619,0.506,"[41471, 32221, 16833, 81715, 53020, 28910]"
86,0.4574761904761905,0.4698095238095238,0.5024285714285714,"[72173, 98494, 82843, 43285, 49737, 29976]"
87,0.5124285714285715,0.4856190476190476,0.4785714285714286,"[45361, 62068, 83237, 14131, 3307, 6452]"
88,0.47485714285714287,0.4575714285714286,0.49433333333333335,"[34586, 72536, 61748, 52665, 55786, 7289]"
89,0.49714285714285716,0.4716666666666667,0.484,"[3053, 32491, 91281, 9188, 78343, 35409]"
90,0.44942857142857146,0.42514285714285716,0.4703333333333333,"[76078, 48783, 87115, 58673, 68085, 50131]"
91,0.4888095238095238,0.4745238095238095,0.4544761904761905,"[98484, 58890, 70886, 92050, 47969, 17045]"
92,0.43742857142857144,0.48328571428571426,0.5045238095238095,"[44238, 8320, 59570, 71059, 67482, 34024]"
93,0.5657142857142857,0.531952380952381,0.5174761904761904,"[55911, 30054, 44615, 79657, 58271, 82868]"
94,0.43976190476190474,0.49128571428571427,0.4876190476190476,"[10743, 63555, 14021, 25527, 49034, 67471]"
