Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Ensemble12_Acc,Seeds
1,0.8691468890314304,0.8717126363053239,0.8723540731237973,0.8704297626683771,"[782, 3260, 5784, 6872, 3365, 5342, 2724, 7803, 5400, 2422, 6635, 1205]"
2,0.8710711994868505,0.868505452212957,0.8704297626683771,0.8736369467607441,"[9930, 7606, 9269, 4058, 4427, 9841, 7305, 377, 8432, 7410, 9782, 459]"
3,0.8742783835792175,0.8800513149454778,0.8755612572161642,0.8697883258499037,"[6926, 833, 1507, 592, 9575, 5296, 5834, 5152, 2735, 8925, 4966, 2594]"
4,0.8595253367543297,0.8697883258499037,0.8569595894804362,0.8601667735728031,"[3341, 2385, 8716, 9214, 631, 1725, 3904, 6272, 9092, 1169, 4273, 2780]"
5,0.8614496472097498,0.8627325208466966,0.8697883258499037,0.8729955099422707,"[803, 3596, 5516, 9904, 4068, 8246, 6132, 9169, 5989, 5424, 8805, 9759]"
6,0.8749198203976908,0.881975625400898,0.8787684413085312,0.868505452212957,"[1469, 9577, 630, 4914, 1751, 9772, 1516, 6423, 6352, 3000, 3244, 5382]"
7,0.8620910840282232,0.8627325208466966,0.8640153944836434,0.8627325208466966,"[1690, 9484, 1687, 1092, 9080, 286, 6221, 1623, 9376, 2540, 5707, 8087]"
8,0.8614496472097498,0.8640153944836434,0.8588838999358563,0.8620910840282232,"[3324, 8569, 5195, 3523, 8535, 580, 5955, 3955, 1288, 5773, 3660, 4372]"
9,0.8627325208466966,0.8652982681205901,0.8563181526619628,0.8652982681205901,"[3397, 807, 610, 627, 8018, 9355, 3456, 5258, 5874, 2084, 98, 979]"
10,0.8723540731237973,0.8672225785760103,0.8652982681205901,0.8691468890314304,"[4478, 4020, 8340, 7587, 9783, 6708, 1906, 523, 6901, 1349, 7049, 2153]"
11,0.8717126363053239,0.8697883258499037,0.8652982681205901,0.8659397049390635,"[6813, 1149, 8050, 1546, 9182, 3920, 7178, 7444, 5034, 5174, 3161, 8844]"
12,0.8697883258499037,0.8742783835792175,0.8697883258499037,0.8659397049390635,"[8675, 5390, 9598, 1606, 1180, 4233, 7802, 1438, 2745, 9568, 6306, 2865]"
13,0.8729955099422707,0.8678640153944837,0.86337395766517,0.8691468890314304,"[9419, 9115, 3269, 7388, 7191, 9690, 6671, 7250, 6867, 549, 9257, 9987]"
14,0.8723540731237973,0.8659397049390635,0.868505452212957,0.8723540731237973,"[8594, 5616, 6836, 270, 818, 5601, 8213, 2023, 636, 4954, 1645, 1850]"
15,0.8742783835792175,0.8704297626683771,0.8614496472097498,0.8608082103912764,"[8914, 4569, 7889, 7104, 5558, 1709, 5648, 840, 1592, 5890, 9777, 5427]"
16,0.868505452212957,0.8717126363053239,0.8755612572161642,0.8678640153944837,"[7074, 394, 6771, 2991, 3891, 9799, 2079, 2298, 9857, 7582, 4338, 2561]"
17,0.8678640153944837,0.8710711994868505,0.8723540731237973,0.8774855676715844,"[4097, 253, 2621, 2943, 7239, 2950, 9677, 977, 575, 7635, 1586, 7117]"
18,0.8723540731237973,0.8736369467607441,0.8710711994868505,0.8704297626683771,"[9514, 3462, 2482, 9707, 264, 8271, 8013, 509, 1843, 7249, 1677, 7192]"
19,0.8742783835792175,0.8717126363053239,0.8659397049390635,0.8608082103912764,"[2154, 4232, 7058, 2168, 3092, 7794, 1426, 4793, 3109, 6341, 1216, 2722]"
20,0.8678640153944837,0.8678640153944837,0.8729955099422707,0.8678640153944837,"[8489, 5721, 4726, 1954, 8270, 529, 8651, 7214, 7485, 8794, 7929, 9647]"
