Experiment,Baseline_1x6000,Sym_6x1000,AsymA_1x4000_2x1000,AsymB_1x2000_4x1000,Seeds
1,0.8723540731237973,0.86337395766517,0.8627325208466966,0.868505452212957,"[92417, 2002, 39251, 65469, 64394, 9655]"
2,0.8736369467607441,0.8627325208466966,0.8665811417575369,0.8627325208466966,"[44614, 25078, 39936, 91297, 39621, 96897]"
3,0.8652982681205901,0.8762026940346376,0.8646568313021168,0.8723540731237973,"[61549, 92186, 85797, 45978, 80282, 446]"
4,0.8608082103912764,0.8646568313021168,0.8678640153944837,0.858242463117383,"[5952, 26976, 99261, 8001, 40615, 75453]"
5,0.8710711994868505,0.8556767158434894,0.8659397049390635,0.8646568313021168,"[77386, 42507, 27361, 32374, 32884, 44869]"
6,0.8563181526619628,0.8620910840282232,0.858242463117383,0.858242463117383,"[35918, 68237, 4359, 43299, 83537, 72957]"
7,0.8646568313021168,0.8614496472097498,0.8563181526619628,0.8659397049390635,"[30591, 38619, 95711, 76226, 12573, 97150]"
8,0.8781270044900578,0.8697883258499037,0.8794098781270044,0.868505452212957,"[73909, 59971, 87157, 22391, 33106, 20144]"
9,0.86337395766517,0.868505452212957,0.86337395766517,0.8646568313021168,"[99069, 65910, 51989, 43128, 37580, 40950]"
10,0.8697883258499037,0.8620910840282232,0.858242463117383,0.86337395766517,"[66758, 80906, 63987, 66404, 34217, 27765]"
11,0.8742783835792175,0.8614496472097498,0.8601667735728031,0.8620910840282232,"[40315, 45418, 19409, 45421, 1876, 77828]"
12,0.8569595894804362,0.8614496472097498,0.8511866581141757,0.8595253367543297,"[9995, 39535, 27118, 81365, 99196, 11199]"
13,0.8794098781270044,0.8595253367543297,0.8787684413085312,0.8697883258499037,"[36400, 62653, 71099, 67547, 57810, 3986]"
14,0.8672225785760103,0.8659397049390635,0.8608082103912764,0.8652982681205901,"[28675, 57985, 11764, 52465, 21153, 59402]"
15,0.858242463117383,0.868505452212957,0.86337395766517,0.8665811417575369,"[8630, 17207, 49891, 53937, 71650, 60451]"
16,0.8704297626683771,0.8691468890314304,0.8755612572161642,0.8762026940346376,"[86583, 31630, 53031, 52166, 50561, 18294]"
17,0.8627325208466966,0.8717126363053239,0.8736369467607441,0.8762026940346376,"[46637, 8, 96682, 60634, 5992, 44072]"
18,0.8601667735728031,0.8543938422065427,0.8595253367543297,0.8563181526619628,"[19148, 61371, 99402, 85206, 94384, 72314]"
19,0.8640153944836434,0.8608082103912764,0.8665811417575369,0.86337395766517,"[42262, 7845, 3000, 1396, 22833, 10579]"
20,0.8672225785760103,0.858242463117383,0.868505452212957,0.8576010262989096,"[26371, 86937, 38987, 59681, 58486, 54576]"
21,0.8697883258499037,0.8646568313021168,0.868505452212957,0.8659397049390635,"[87241, 73734, 23438, 85149, 56291, 86414]"
22,0.8659397049390635,0.8531109685695959,0.8595253367543297,0.8543938422065427,"[28285, 11016, 905, 48291, 79115, 38211]"
23,0.8665811417575369,0.8672225785760103,0.8710711994868505,0.8652982681205901,"[80666, 61970, 12578, 6528, 95182, 29752]"
