Experiment,Baseline_Acc,Ensemble_Acc,Seeds
1,0.8697883258499037,0.8665811417575369,"[16930, 45765, 2260]"
2,0.8691468890314304,0.8614496472097498,"[96817, 40606, 95750]"
3,0.8723540731237973,0.8697883258499037,"[23220, 71289, 32271]"
4,0.868505452212957,0.8710711994868505,"[4818, 27037, 63035]"
5,0.8646568313021168,0.8646568313021168,"[63531, 69780, 18944]"
6,0.8697883258499037,0.8678640153944837,"[79521, 66326, 94854]"
7,0.8723540731237973,0.8672225785760103,"[10095, 9446, 76548]"
8,0.8646568313021168,0.8569595894804362,"[39130, 63049, 68737]"
9,0.8697883258499037,0.8627325208466966,"[13775, 70772, 93045]"
10,0.8659397049390635,0.8723540731237973,"[34153, 78602, 60852]"
11,0.8678640153944837,0.8620910840282232,"[34918, 18664, 46326]"
12,0.8652982681205901,0.8691468890314304,"[11205, 21460, 60825]"
13,0.8710711994868505,0.8646568313021168,"[36240, 75161, 85529]"
14,0.8787684413085312,0.8665811417575369,"[72386, 65975, 92522]"
15,0.8652982681205901,0.8652982681205901,"[88375, 27234, 65051]"
16,0.8717126363053239,0.868505452212957,"[7846, 54334, 79977]"
17,0.8665811417575369,0.8665811417575369,"[71150, 11763, 47035]"
18,0.8678640153944837,0.8736369467607441,"[99759, 70511, 28422]"
19,0.868505452212957,0.8640153944836434,"[58675, 25886, 80220]"
20,0.8646568313021168,0.8697883258499037,"[33101, 31959, 23734]"
21,0.8691468890314304,0.8665811417575369,"[54458, 80139, 52494]"
22,0.8717126363053239,0.8691468890314304,"[89269, 93121, 81503]"
23,0.8697883258499037,0.8608082103912764,"[9973, 16800, 80903]"
24,0.8704297626683771,0.8723540731237973,"[86281, 38525, 84310]"
25,0.8665811417575369,0.8652982681205901,"[56651, 78090, 25853]"
26,0.8749198203976908,0.868505452212957,"[95201, 17346, 74454]"
27,0.8704297626683771,0.8665811417575369,"[5808, 46298, 66317]"
28,0.8704297626683771,0.86337395766517,"[20743, 11598, 89179]"
29,0.8774855676715844,0.8576010262989096,"[189, 62598, 38749]"
30,0.8665811417575369,0.86337395766517,"[3512, 71944, 6048]"
31,0.8588838999358563,0.8620910840282232,"[42802, 75990, 58797]"
32,0.8691468890314304,0.8672225785760103,"[85496, 65465, 60654]"
33,0.8608082103912764,0.8556767158434894,"[23328, 70061, 50384]"
34,0.8697883258499037,0.8710711994868505,"[41650, 98862, 73094]"
35,0.8640153944836434,0.8608082103912764,"[17430, 91213, 4220]"
36,0.8704297626683771,0.86337395766517,"[38119, 29566, 46694]"
37,0.8640153944836434,0.8672225785760103,"[68291, 22498, 15728]"
38,0.8736369467607441,0.8717126363053239,"[95442, 95742, 18158]"
39,0.8697883258499037,0.8672225785760103,"[58461, 94640, 29512]"
40,0.8704297626683771,0.8678640153944837,"[24539, 61322, 20937]"
41,0.868505452212957,0.8659397049390635,"[58331, 50495, 37493]"
42,0.8691468890314304,0.8704297626683771,"[54319, 65872, 50515]"
43,0.8640153944836434,0.8576010262989096,"[59819, 54638, 6688]"
44,0.8749198203976908,0.8672225785760103,"[96837, 9711, 16053]"
45,0.8627325208466966,0.8627325208466966,"[56254, 25585, 84838]"
46,0.8665811417575369,0.8646568313021168,"[17521, 5266, 39391]"
47,0.8736369467607441,0.8595253367543297,"[88868, 3444, 63561]"
48,0.8678640153944837,0.8691468890314304,"[33818, 11956, 96455]"
49,0.8697883258499037,0.8691468890314304,"[23835, 35379, 51489]"
50,0.8691468890314304,0.8595253367543297,"[43506, 15643, 78523]"
51,0.8762026940346376,0.8691468890314304,"[66812, 59457, 58775]"
52,0.8678640153944837,0.8646568313021168,"[91117, 97795, 91152]"
53,0.8652982681205901,0.8704297626683771,"[68099, 92548, 30358]"
54,0.8614496472097498,0.8665811417575369,"[48081, 97137, 41797]"
55,0.8678640153944837,0.8646568313021168,"[11429, 35697, 73725]"
56,0.8762026940346376,0.8640153944836434,"[40694, 44719, 63037]"
57,0.8742783835792175,0.8691468890314304,"[59860, 45424, 7145]"
58,0.8620910840282232,0.8646568313021168,"[22399, 46942, 50243]"
59,0.8646568313021168,0.8665811417575369,"[36967, 62376, 58858]"
60,0.8659397049390635,0.8691468890314304,"[68060, 93187, 49346]"
61,0.8678640153944837,0.8627325208466966,"[55425, 22422, 81849]"
62,0.8652982681205901,0.8678640153944837,"[74010, 31799, 39090]"
63,0.8710711994868505,0.8646568313021168,"[63079, 10661, 62811]"
64,0.8691468890314304,0.8665811417575369,"[12477, 98648, 21215]"
65,0.876844130853111,0.8627325208466966,"[42633, 13636, 93025]"
66,0.8665811417575369,0.8704297626683771,"[74080, 7374, 2382]"
67,0.868505452212957,0.8659397049390635,"[87173, 98263, 17950]"
68,0.8608082103912764,0.8608082103912764,"[29436, 595, 72819]"
69,0.8762026940346376,0.8665811417575369,"[60784, 14735, 72213]"
70,0.8717126363053239,0.8723540731237973,"[57385, 8521, 80997]"
71,0.8627325208466966,0.8640153944836434,"[10614, 84474, 77574]"
72,0.86337395766517,0.8678640153944837,"[1620, 30314, 78516]"
73,0.8659397049390635,0.8704297626683771,"[24946, 96127, 40523]"
74,0.8704297626683771,0.8588838999358563,"[54344, 49566, 64961]"
75,0.8511866581141757,0.8640153944836434,"[1550, 2825, 7283]"
76,0.8627325208466966,0.8659397049390635,"[84627, 63639, 56026]"
77,0.8678640153944837,0.8672225785760103,"[93002, 91033, 38462]"
78,0.8717126363053239,0.8659397049390635,"[67995, 40928, 4034]"
79,0.868505452212957,0.8665811417575369,"[1723, 66063, 87088]"
80,0.8729955099422707,0.8697883258499037,"[51211, 5720, 7916]"
81,0.8659397049390635,0.8652982681205901,"[28823, 76369, 29835]"
82,0.8717126363053239,0.8736369467607441,"[92741, 51227, 30627]"
83,0.8704297626683771,0.8620910840282232,"[6900, 33066, 82365]"
