Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Ensemble12_Acc,Seeds
1,0.8078,0.8194,0.8196,0.8166,"[23923, 62041, 40636, 6387, 50432, 14355, 26486, 34776, 39836, 5388, 83990, 56401]"
2,0.8088,0.8086,0.8124,0.8096,"[85982, 84409, 62592, 95870, 87447, 74736, 37897, 26240, 122, 45358, 65301, 65105]"
3,0.8157,0.8126,0.813,0.812,"[80935, 49987, 50373, 66656, 95559, 29064, 93925, 26239, 33142, 47268, 33775, 11025]"
4,0.8143,0.8115,0.81,0.8116,"[45944, 28738, 79945, 97380, 72810, 38962, 17186, 84244, 11364, 8151, 47506, 14939]"
5,0.8095,0.8073,0.8146,0.8147,"[49937, 18444, 50770, 33503, 56423, 66975, 51545, 25517, 15626, 28370, 51400, 99561]"
6,0.809,0.8116,0.8097,0.8108,"[93257, 89128, 77373, 94557, 31239, 98923, 49749, 29736, 25408, 61658, 83303, 9066]"
7,0.8117,0.8171,0.8165,0.8159,"[56445, 1318, 16689, 79433, 78712, 93874, 73126, 37335, 41356, 16166, 13034, 1642]"
8,0.8081,0.8135,0.8108,0.8104,"[36732, 6879, 77375, 58136, 14420, 61548, 57271, 92551, 71193, 10295, 24781, 36281]"
9,0.8123,0.8165,0.8126,0.8153,"[44155, 48834, 89085, 38511, 94420, 10893, 21490, 78881, 81500, 10979, 11729, 14543]"
10,0.8072,0.8067,0.8116,0.8115,"[19965, 83615, 25009, 35580, 93128, 8204, 61135, 81574, 97414, 55039, 97017, 11969]"
11,0.806,0.8141,0.8126,0.8162,"[1925, 21300, 20439, 86904, 11438, 15289, 25923, 49684, 33229, 92466, 14402, 12898]"
12,0.8065,0.8167,0.8179,0.8152,"[35183, 75695, 43051, 91326, 96241, 39086, 35884, 19100, 38292, 11892, 42028, 68190]"
13,0.8069,0.8165,0.816,0.8141,"[82314, 90340, 22524, 73221, 65480, 52671, 99149, 43238, 90456, 52463, 1504, 66304]"
14,0.8043,0.8141,0.8065,0.8096,"[83545, 97893, 37057, 71667, 77972, 69797, 69715, 90000, 56434, 9340, 41491, 67727]"
15,0.8097,0.8044,0.8075,0.8075,"[3756, 59628, 39585, 72216, 39070, 98701, 54217, 23883, 40948, 99201, 9199, 40900]"
16,0.8094,0.8115,0.8103,0.8138,"[63625, 2579, 31454, 12993, 23501, 19496, 49141, 118, 70829, 52643, 60232, 93176]"
17,0.8154,0.8102,0.8135,0.8065,"[55628, 80768, 32204, 12520, 65509, 82508, 28318, 54703, 91788, 53483, 74662, 19988]"
18,0.8126,0.8152,0.8121,0.8102,"[33772, 26947, 59841, 70946, 48634, 93433, 29491, 58180, 5604, 12518, 64454, 11494]"
19,0.8173,0.8126,0.8048,0.8125,"[12662, 1605, 26260, 78326, 77739, 52433, 36685, 96481, 74953, 11359, 31868, 68084]"
20,0.8081,0.8105,0.8094,0.8082,"[71313, 30077, 40088, 78215, 53038, 73975, 81051, 97190, 22930, 10873, 12650, 46083]"
21,0.8092,0.8077,0.809,0.8089,"[88037, 38101, 19932, 81218, 1082, 33663, 43124, 87400, 52898, 37375, 77615, 28069]"
22,0.8106,0.8136,0.8146,0.8113,"[349, 23948, 22787, 12108, 94114, 98072, 65970, 7525, 25321, 66059, 95058, 81841]"
23,0.8107,0.8129,0.8103,0.809,"[62393, 95879, 73759, 88463, 49920, 81518, 60564, 76951, 93569, 93354, 46826, 63065]"
24,0.8115,0.8098,0.8118,0.8204,"[78294, 20359, 6540, 35589, 11874, 61240, 9762, 45811, 99612, 52588, 78793, 85583]"
25,0.8039,0.818,0.8144,0.8153,"[61191, 20337, 24473, 97442, 70137, 67867, 26870, 71580, 11253, 16360, 3148, 30314]"
26,0.8184,0.8125,0.8089,0.8071,"[57825, 81942, 22506, 17942, 91562, 69366, 31260, 80898, 12880, 75456, 68944, 77125]"
27,0.8096,0.8075,0.808,0.8118,"[52979, 62523, 96874, 48831, 39491, 27289, 9739, 66363, 41637, 61431, 89570, 85091]"
28,0.8114,0.811,0.8078,0.809,"[78413, 75490, 66031, 29191, 29780, 1522, 76005, 57034, 49322, 7872, 78651, 70812]"
29,0.8105,0.8104,0.8102,0.8067,"[47160, 51257, 37188, 33941, 92536, 62284, 48683, 77433, 29338, 49850, 46481, 83728]"
