Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Seeds
1,0.8164,0.8024,0.8102,"[84665, 93341, 59334, 16343, 19246, 51952]"
2,0.8031,0.8078,0.8079,"[31800, 52269, 95357, 37425, 61892, 47180]"
3,0.8029,0.8043,0.8018,"[21715, 86992, 53712, 54626, 86502, 16346]"
4,0.8013,0.8076,0.8107,"[70608, 41151, 48302, 58604, 4454, 15957]"
5,0.804,0.8085,0.8111,"[77573, 98956, 78683, 59729, 10335, 99345]"
6,0.8143,0.805,0.8077,"[39715, 48420, 54998, 31226, 48980, 90240]"
7,0.8066,0.8018,0.8053,"[61133, 84101, 51820, 82838, 74295, 52242]"
8,0.8045,0.8046,0.8068,"[5015, 4595, 26799, 1230, 76881, 48486]"
9,0.8053,0.808,0.8109,"[96385, 14974, 6728, 73093, 68977, 11186]"
10,0.8099,0.808,0.8082,"[71611, 47926, 52464, 37019, 24356, 9086]"
11,0.8019,0.8023,0.803,"[84159, 41139, 11976, 98195, 14819, 5539]"
12,0.8064,0.8088,0.8056,"[98028, 81284, 53853, 40845, 53480, 51318]"
13,0.8051,0.8072,0.8056,"[95765, 21029, 99045, 62254, 89668, 42423]"
14,0.8025,0.8003,0.812,"[85477, 1184, 78132, 28311, 64851, 61728]"
15,0.7996,0.8041,0.8102,"[33881, 79989, 54054, 44122, 8335, 16869]"
16,0.8069,0.8131,0.8151,"[68264, 24702, 56610, 86045, 47818, 62174]"
17,0.816,0.8058,0.8073,"[12263, 48402, 56399, 82231, 77495, 99975]"
18,0.8032,0.8089,0.8049,"[85399, 72489, 79570, 66837, 40388, 92372]"
19,0.8056,0.8088,0.8096,"[1290, 77901, 62900, 29503, 66157, 88830]"
20,0.8059,0.8087,0.8073,"[1755, 56499, 81133, 9870, 76550, 11090]"
21,0.8099,0.8097,0.8141,"[8708, 45464, 89324, 10714, 55237, 56904]"
22,0.8082,0.8072,0.8043,"[79928, 34090, 32058, 90387, 78347, 52113]"
23,0.8093,0.8069,0.8057,"[59008, 74567, 20926, 87791, 80271, 11157]"
24,0.8069,0.8035,0.811,"[63599, 24887, 43322, 43057, 5225, 75680]"
25,0.8075,0.8064,0.8054,"[15233, 94000, 92724, 65931, 63835, 3428]"
26,0.8161,0.8132,0.8168,"[45139, 98792, 818, 85328, 98283, 84464]"
27,0.8073,0.8053,0.8082,"[53209, 16477, 66675, 94795, 23198, 65902]"
28,0.8174,0.8156,0.8076,"[16503, 28876, 85952, 63184, 5079, 92253]"
29,0.8001,0.8082,0.8027,"[90632, 11753, 61704, 34365, 60950, 32115]"
30,0.804,0.8079,0.8058,"[17933, 6700, 77665, 63445, 33687, 8840]"
31,0.8054,0.803,0.8035,"[66107, 95365, 86179, 21131, 46067, 84671]"
32,0.8002,0.8032,0.8056,"[65674, 4405, 59943, 39442, 63906, 44806]"
33,0.8143,0.8092,0.8079,"[34751, 92706, 73813, 75307, 8602, 28209]"
34,0.8071,0.8111,0.8086,"[90317, 83525, 93254, 75690, 3728, 12339]"
35,0.804,0.8035,0.8042,"[26017, 59193, 79873, 2869, 9225, 62324]"
