Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Ensemble12_Acc,Seeds
1,0.8652867322701052,0.8649474041398032,0.8585001696640652,0.8591788259246692,"[21576, 24483, 27358, 77130, 91091, 44930, 87940, 18128, 1149, 99099, 53220, 80816]"
2,0.8601968103155752,0.8632507634882932,0.8659653885307091,0.8730912792670512,"[98883, 64481, 38357, 87349, 78299, 40870, 76337, 78148, 82647, 24231, 60385, 92429]"
3,0.8669833729216152,0.8588394977943672,0.8585001696640652,0.8622327790973872,"[48251, 46216, 3308, 12423, 10867, 86142, 38894, 40470, 74994, 89080, 60169, 77531]"
4,0.8683406854428232,0.8659653885307091,0.8666440447913132,0.8632507634882932,"[42497, 76600, 71927, 93544, 40677, 69483, 70633, 37016, 35017, 93085, 45174, 22024]"
5,0.8500169664065151,0.8496776382762131,0.8554462164913471,0.8540889039701391,"[46208, 12197, 73967, 37520, 3866, 69254, 96117, 65607, 86801, 8701, 40011, 8079]"
6,0.8513742789277231,0.8635900916185952,0.8649474041398032,0.8574821852731591,"[46815, 79166, 35026, 86415, 47972, 94210, 10808, 86424, 90227, 93014, 29144, 90745]"
7,0.8574821852731591,0.8618934509670851,0.8656260604004072,0.8612147947064812,"[89790, 97447, 97795, 99154, 16916, 6724, 17142, 90241, 55568, 36076, 77844, 28538]"
8,0.8639294197488971,0.8581608415337632,0.8680013573125213,0.8622327790973872,"[67118, 41612, 74160, 40646, 51148, 98892, 10693, 32972, 68738, 21978, 33706, 75755]"
9,0.8598574821852731,0.8571428571428571,0.8581608415337632,0.8642687478791992,"[86646, 80068, 82419, 86815, 34068, 57922, 64210, 75029, 38136, 3642, 78270, 79008]"
10,0.8544282321004412,0.8656260604004072,0.8554462164913471,0.8547675602307431,"[98447, 1272, 12764, 59511, 46219, 78016, 56675, 23405, 29647, 98571, 30826, 77386]"
11,0.8557855446216491,0.8544282321004412,0.8598574821852731,0.8571428571428571,"[23228, 32231, 40985, 53212, 77938, 3351, 39886, 99335, 10357, 65725, 41605, 68365]"
12,0.8561248727519511,0.8527315914489311,0.8601968103155752,0.8568035290125552,"[24998, 10170, 87970, 44138, 6703, 49957, 46120, 75369, 56631, 67428, 62308, 65871]"
13,0.8561248727519511,0.8554462164913471,0.8595181540549711,0.8574821852731591,"[3153, 32712, 9444, 52768, 64014, 35011, 6467, 78361, 85767, 93379, 94503, 14005]"
14,0.8601968103155752,0.8608754665761792,0.8659653885307091,0.8625721072276892,"[41916, 62504, 68335, 49438, 96663, 53534, 71905, 95198, 16001, 79931, 91363, 21571]"
15,0.8696979979640312,0.8557855446216491,0.8618934509670851,0.8574821852731591,"[56352, 29756, 8795, 68255, 82980, 87336, 3819, 35700, 15126, 69735, 88504, 2874]"
16,0.8598574821852731,0.8612147947064812,0.8591788259246692,0.8683406854428232,"[47802, 60835, 5555, 61285, 6611, 2825, 13656, 23330, 21867, 98567, 72228, 83704]"
17,0.8700373260943333,0.8581608415337632,0.8629114353579912,0.8646080760095012,"[52433, 52694, 14285, 4376, 18688, 20006, 31283, 60895, 97171, 80840, 8293, 55932]"
18,0.8585001696640652,0.8676620291822192,0.8591788259246692,0.8588394977943672,"[98443, 93112, 29378, 92195, 47010, 65845, 50410, 60633, 54876, 28214, 69293, 83858]"
19,0.8601968103155752,0.8646080760095012,0.8517136070580251,0.8551068883610451,"[4986, 30882, 14311, 64471, 12258, 79803, 98215, 24360, 9933, 9116, 93164, 92371]"
20,0.8646080760095012,0.8591788259246692,0.8669833729216152,0.8547675602307431,"[77498, 11532, 22844, 70565, 52574, 2883, 45222, 84930, 60785, 40413, 45020, 62578]"
21,0.8700373260943333,0.8547675602307431,0.8612147947064812,0.8608754665761792,"[80097, 71043, 1528, 4881, 73165, 81132, 58020, 81217, 53847, 67742, 32631, 40721]"
22,0.8625721072276892,0.8585001696640652,0.8578215134034611,0.8656260604004072,"[28595, 17816, 62605, 41099, 75723, 69557, 22404, 36350, 17505, 42975, 64261, 37393]"
23,0.8581608415337632,0.8561248727519511,0.8557855446216491,0.8612147947064812,"[49818, 16305, 41973, 31222, 50391, 39689, 18861, 57707, 38199, 2830, 84327, 88641]"
24,0.8493383101459111,0.8642687478791992,0.8649474041398032,0.8656260604004072,"[94583, 73670, 13748, 12473, 71063, 86127, 31684, 35980, 67254, 73244, 63175, 9640]"
25,0.8652867322701052,0.8520529351883271,0.8578215134034611,0.8510349507974211,"[40697, 6130, 58297, 71756, 20692, 16748, 77914, 362, 45784, 7772, 46379, 37365]"
26,0.8663047166610112,0.8534102477095351,0.8527315914489311,0.8564642008822532,"[82437, 55538, 44866, 93056, 93116, 67981, 8313, 25495, 77172, 62475, 94058, 37234]"
27,0.8578215134034611,0.8598574821852731,0.8581608415337632,0.8707159823549372,"[41519, 92751, 35189, 84274, 13111, 97318, 30440, 42828, 76598, 12634, 16376, 63830]"
28,0.8598574821852731,0.8676620291822192,0.8646080760095012,0.8615541228367831,"[3203, 90626, 89038, 49644, 19575, 58801, 51650, 60606, 85052, 92778, 63919, 89519]"
29,0.8632507634882932,0.8656260604004072,0.8618934509670851,0.8520529351883271,"[72797, 17226, 93193, 47973, 72850, 60838, 97201, 94702, 62362, 15898, 78661, 86209]"
30,0.8618934509670851,0.8588394977943672,0.8612147947064812,0.8649474041398032,"[37959, 31740, 32686, 10595, 82896, 81736, 60089, 18796, 66155, 48868, 44653, 87211]"
31,0.8720732948761453,0.8615541228367831,0.8540889039701391,0.8537495758398371,"[71555, 9239, 34177, 52061, 76819, 41451, 26697, 34877, 42285, 15128, 29835, 99702]"
32,0.8601968103155752,0.8615541228367831,0.8554462164913471,0.8574821852731591,"[97554, 84885, 7599, 27186, 58265, 27233, 49715, 47414, 97037, 48088, 97892, 91343]"
33,0.8656260604004072,0.8588394977943672,0.8612147947064812,0.8625721072276892,"[16057, 65857, 70986, 52528, 70000, 79097, 6051, 22819, 85945, 56864, 38977, 79173]"
34,0.8649474041398032,0.848320325755005,0.8557855446216491,0.8601968103155752,"[46334, 67415, 16880, 13347, 31834, 2868, 56018, 55670, 63271, 97210, 96323, 32390]"
35,0.8639294197488971,0.8578215134034611,0.8513742789277231,0.8585001696640652,"[78145, 31994, 19550, 55441, 68785, 37172, 85139, 62716, 91316, 86661, 9874, 62154]"
36,0.8629114353579912,0.8629114353579912,0.8615541228367831,0.8557855446216491,"[72979, 39851, 13147, 12006, 80526, 81632, 41589, 94018, 76851, 65593, 39983, 13285]"
37,0.8574821852731591,0.8632507634882932,0.8585001696640652,0.8622327790973872,"[18185, 15284, 32041, 92569, 35177, 8726, 59461, 74692, 96868, 85921, 22382, 62654]"
38,0.8635900916185952,0.8642687478791992,0.8652867322701052,0.8632507634882932,"[7792, 94424, 82182, 89598, 94365, 59984, 98795, 68753, 20128, 62387, 88437, 51030]"
39,0.8666440447913132,0.8625721072276892,0.8629114353579912,0.8564642008822532,"[95249, 40218, 16248, 26632, 68290, 54946, 12008, 81528, 35444, 20757, 18602, 64040]"
40,0.8601968103155752,0.8605361384458772,0.8635900916185952,0.8585001696640652,"[17087, 65084, 41757, 14007, 21740, 21613, 96614, 27124, 22747, 69610, 13698, 97510]"
41,0.8517136070580251,0.8568035290125552,0.8466236851034951,0.8530709195792331,"[27076, 76987, 86680, 49941, 62451, 15900, 97534, 12572, 56672, 45749, 59825, 41252]"
42,0.8544282321004412,0.8493383101459111,0.8540889039701391,0.8605361384458772,"[19794, 37078, 11361, 96494, 98336, 86676, 86418, 90120, 78885, 19982, 18369, 19405]"
43,0.8500169664065151,0.8625721072276892,0.8642687478791992,0.8452663725822871,"[40079, 20849, 89510, 2875, 74517, 62722, 21968, 87405, 13407, 46438, 90341, 56502]"
