D_total,E,dims,run_time,num_runs,weighting,importance_csv,common_ratio,per_expert_ratio,baseline_k,seeds,mean_confidence_margin_ens,mean_confidence_margin_base,mean_confidence_margin_ens_correct,mean_confidence_margin_ens_wrong,mean_confidence_margin_base_correct,mean_confidence_margin_base_wrong,gap_confidence_margin_ens,gap_confidence_margin_base,mean_disagree_rate,cm_ens,cm_base,corr_err,proj_bits_ens,cent_bits_ens,proj_bits_base,cent_bits_base
6000,3,"[2000, 2000, 2000]",200,100,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425], [6302, 115, 6641, 2755], [9255, 5855, 3966, 344], [6492, 9983, 675, 9554], [2492, 6666, 3612, 4656], [8475, 5822, 6796, 4901], [721, 5399, 1629, 4695], [3402, 3023, 7878, 7801], [4696, 3860, 3022, 4122], [4921, 3056, 1782, 9840], [5574, 8640, 657, 5385], [3817, 4093, 7450, 4527], [4021, 6968, 1533, 8062], [1767, 3854, 4652, 5015], [5441, 5863, 7205, 3088], [1045, 3113, 7614, 1258], [3923, 2914, 9977, 2209], [7930, 521, 9014, 9645], [6538, 6054, 1330, 7305], [3609, 9402, 3703, 3585], [8663, 2282, 3689, 8720], [2651, 4946, 8798, 274], [357, 2054, 6229, 5245], [4604, 2016, 3820, 1318], [2856, 8604, 3781, 7931], [5600, 4337, 943, 9510], [5682, 8432, 608, 4078], [6072, 8115, 5782, 1305], [8109, 2761, 3892, 6821], [6080, 1473, 7126, 1076], [1945, 3138, 2454, 6830], [961, 606, 5175, 2376], [8745, 1699, 5801, 1054], [5494, 449, 8128, 8686], [8612, 5143, 6953, 860], [6699, 6289, 9483, 7644], [2061, 4707, 7714, 1146], [987, 8465, 6353, 5842], [7508, 5538, 346, 5708], [6814, 7823, 3293, 7568], [4441, 9548, 9897, 4559], [6349, 6583, 2574, 9210], [7287, 6265, 9469, 9612], [265, 4783, 8857, 2388], [8817, 8719, 6252, 6668], [6140, 8208, 4111, 6718], [906, 5315, 9582, 756], [8009, 5084, 7082, 5996], [5194, 6738, 1663, 4412], [1194, 2532, 8711, 7054], [648, 9002, 1479, 7134], [3451, 1171, 6674, 9286], [7100, 496, 2875, 612], [5131, 8754, 6692, 7650], [7003, 5536, 9890, 6181], [4791, 8946, 3164, 8484], [6426, 7832, 5146, 7927], [1143, 8877, 1644, 7302], [3238, 358, 7287, 5625], [8755, 9190, 5212, 676], [653, 431, 1084, 5094], [2939, 5863, 1299, 9746], [7922, 5824, 5558, 2864], [7812, 5879, 1024, 8161], [3146, 9727, 3921, 4999], [2367, 7518, 6053, 6859], [2033, 9351, 6083, 9131], [6110, 1144, 3248, 5233], [1460, 3063, 3553, 651], [4809, 8154, 4555, 671], [6724, 5818, 854, 8031], [5072, 7331, 1351, 4280], [325, 5021, 4136, 1918], [642, 7863, 6177, 5138], [340, 2237, 8659, 4308], [537, 4571, 6050, 1682], [9515, 4623, 6350, 9288], [8057, 1187, 5189, 1149], [9109, 409, 5137, 4320], [4608, 8077, 7864, 7710], [4460, 3046, 1347, 7256], [8891, 5542, 8040, 9717], [7744, 8229, 1499, 6393], [2371, 4789, 2457, 5322], [7824, 7694, 1871, 3785], [2884, 548, 7935, 3256], [4623, 7701, 5207, 9631], [1197, 4154, 6081, 8217], [8608, 6026, 6598, 662], [3371, 9086, 8666, 2944], [5965, 9688, 3072, 208]]",33.65336578545183,77.89559552086867,37.117852071892564,11.078102231151645,86.5938281521484,31.4598769644877,26.039749840740917,55.1339511876607,0.21827960637936883,"[[47805, 204, 1591, 0, 0, 0], [2936, 43128, 1036, 0, 0, 0], [4349, 5389, 32262, 0, 0, 0], [0, 251, 0, 36526, 11995, 328], [68, 23, 0, 8036, 45067, 6], [0, 125, 0, 1513, 1399, 50663]]","[[46767, 460, 2373, 0, 0, 0], [3181, 42968, 951, 0, 0, 0], [5668, 5768, 30564, 0, 0, 0], [0, 226, 0, 36508, 11801, 565], [36, 18, 0, 9901, 43218, 27], [0, 18, 0, 4116, 1392, 48174]]","[[1.0, 0.34840688478684173, 0.27012794063888956], [0.34840688478684173, 1.0, 0.30622348091437773], [0.27012794063888956, 0.30622348091437773, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,1,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340]]",40.097259262597554,45.332880895826264,42.98245156655543,8.9718046875,48.78589981447124,8.404761904761905,34.01064687905543,40.38113790970934,0.1818798778418731,"[[483, 6, 7, 0, 0, 0], [20, 450, 1, 0, 0, 0], [10, 29, 381, 0, 0, 0], [0, 1, 0, 350, 134, 6], [0, 0, 0, 27, 505, 0], [0, 0, 0, 3, 6, 528]]","[[482, 4, 10, 0, 0, 0], [24, 433, 14, 0, 0, 0], [11, 28, 381, 0, 0, 0], [0, 0, 0, 407, 83, 1], [1, 0, 0, 67, 464, 0], [0, 0, 0, 7, 2, 528]]","[[1.0, 0.266544174233623, 0.2566627074109591], [0.266544174233623, 1.0, 0.281640737464451], [0.2566627074109591, 0.281640737464451, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",39.748577274028676,44.11228367831693,42.18722916015949,9.047393261539487,47.900918997523,8.547439656689047,33.13983589862001,39.35347934083396,0.19055536703992762,"[[4856, 51, 53, 0, 0, 0], [236, 4431, 43, 0, 0, 0], [95, 257, 3848, 0, 0, 0], [0, 5, 0, 3982, 880, 43], [1, 1, 0, 449, 4869, 0], [0, 2, 0, 20, 35, 5313]]","[[4716, 72, 172, 0, 0, 0], [210, 4397, 103, 0, 0, 0], [146, 364, 3690, 0, 0, 0], [0, 3, 0, 3937, 954, 16], [5, 0, 0, 700, 4615, 0], [0, 0, 0, 52, 41, 5277]]","[[1.0, 0.23624689589612552, 0.20476466621735784], [0.23624689589612552, 1.0, 0.2182631021502429], [0.20476466621735784, 0.2182631021502429, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",39.748577274028676,44.11228367831693,42.18722916015949,9.047393261539487,47.900918997523,8.547439656689047,33.13983589862001,39.35347934083396,0.19055536703992762,"[[4856, 51, 53, 0, 0, 0], [236, 4431, 43, 0, 0, 0], [95, 257, 3848, 0, 0, 0], [0, 5, 0, 3982, 880, 43], [1, 1, 0, 449, 4869, 0], [0, 2, 0, 20, 35, 5313]]","[[4716, 72, 172, 0, 0, 0], [210, 4397, 103, 0, 0, 0], [146, 364, 3690, 0, 0, 0], [0, 3, 0, 3937, 954, 16], [5, 0, 0, 700, 4615, 0], [0, 0, 0, 52, 41, 5277]]","[[1.0, 0.23624689589612552, 0.20476466621735784], [0.23624689589612552, 1.0, 0.2182631021502429], [0.20476466621735784, 0.2182631021502429, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",39.282050287501065,49.58198167628096,41.83100001944335,9.636242475733562,53.95504881700017,10.430896786928365,32.19475754370979,43.524152030071804,0.20826829544169212,"[[4859, 34, 67, 0, 0, 0], [263, 4399, 48, 0, 0, 0], [109, 292, 3799, 0, 0, 0], [0, 11, 0, 4017, 839, 43], [4, 0, 0, 535, 4779, 2], [0, 5, 0, 44, 48, 5273]]","[[4768, 43, 149, 0, 0, 0], [264, 4356, 90, 0, 0, 0], [182, 403, 3615, 0, 0, 0], [0, 4, 0, 3906, 969, 31], [5, 0, 0, 685, 4630, 0], [0, 0, 0, 80, 54, 5236]]","[[1.0, 0.2320830532124996, 0.19028288179449432], [0.2320830532124996, 1.0, 0.18584194255096778], [0.19028288179449432, 0.1858419425509678, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",35.858505769903715,53.655514082117406,38.68179755329794,9.93667777688012,59.58245624926077,12.533620300356956,28.74511977641782,47.048835948903815,0.2309127926705124,"[[4860, 35, 65, 0, 0, 0], [283, 4399, 28, 0, 0, 0], [155, 342, 3703, 0, 0, 0], [0, 11, 0, 3800, 1068, 31], [5, 0, 0, 748, 4567, 0], [0, 8, 0, 62, 79, 5221]]","[[4811, 25, 124, 0, 0, 0], [382, 4229, 99, 0, 0, 0], [224, 394, 3582, 0, 0, 0], [0, 4, 0, 3754, 1121, 31], [4, 0, 0, 1053, 4263, 0], [0, 0, 0, 96, 102, 5172]]","[[1.0, 0.17830040721613755, 0.18169174250966397], [0.17830040721613755, 1.0, 0.2394477475585126], [0.18169174250966397, 0.2394477475585126, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",36.40077037261144,53.655514082117406,39.39016146260586,10.529013192149854,59.58245624926077,12.533620300356956,28.861148270456006,47.048835948903815,0.20446782038230973,"[[4863, 30, 67, 0, 0, 0], [353, 4320, 37, 0, 0, 0], [208, 331, 3661, 0, 0, 0], [0, 12, 0, 3810, 1047, 41], [8, 1, 0, 790, 4521, 0], [0, 10, 0, 81, 95, 5184]]","[[4811, 25, 124, 0, 0, 0], [382, 4229, 99, 0, 0, 0], [224, 394, 3582, 0, 0, 0], [0, 4, 0, 3754, 1121, 31], [4, 0, 0, 1053, 4263, 0], [0, 0, 0, 96, 102, 5172]]","[[1.0, 0.29114552377555264, 0.2565973241691656], [0.29114552377555264, 1.0, 0.28805598754740414], [0.2565973241691656, 0.28805598754740414, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,1,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340]]",39.0615179698104,56.51306413301663,42.37948309755471,12.838566990417297,63.05559875583204,11.64,29.540916107137413,51.415598755832036,0.21615201900237527,"[[489, 2, 5, 0, 0, 0], [41, 426, 4, 0, 0, 0], [25, 38, 357, 0, 0, 0], [0, 2, 0, 343, 144, 2], [1, 0, 0, 44, 487, 0], [0, 1, 0, 15, 7, 514]]","[[489, 0, 7, 0, 0, 0], [54, 412, 5, 0, 0, 0], [26, 39, 355, 0, 0, 0], [0, 0, 0, 330, 155, 6], [1, 0, 0, 57, 474, 0], [0, 0, 0, 17, 8, 512]]","[[0.9999999999999999, 0.42881255575844324, 0.18980737609833467], [0.42881255575844324, 1.0, 0.2237086464687751], [0.18980737609833467, 0.2237086464687751, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",38.02074406639697,58.631795045809305,41.34580819178238,12.328008419672312,65.92258558063838,14.651221828729593,29.01779977211007,51.271363751908794,0.20407193756362402,"[[4870, 13, 77, 0, 0, 0], [392, 4282, 36, 0, 0, 0], [312, 368, 3520, 0, 0, 0], [0, 20, 0, 3442, 1421, 27], [8, 1, 0, 482, 4829, 0], [0, 10, 0, 66, 145, 5149]]","[[4829, 8, 123, 0, 0, 0], [553, 4083, 74, 0, 0, 0], [341, 452, 3407, 0, 0, 0], [0, 8, 0, 3417, 1436, 49], [5, 0, 0, 892, 4422, 1], [0, 1, 0, 124, 111, 5134]]","[[1.0, 0.3299022451465712, 0.27741689957290017], [0.3299022451465712, 1.0, 0.31973368801328444], [0.27741689957290017, 0.31973368801328444, 1.0]]",1008000,36000,1008000,36000
6000,3,"[2000, 2000, 2000]",200,10,boosting,/Users/qianshen/torch_hd/torch_hd/qs_hdc/3_feature_importance/rf_feature_importance_results/har_feature_importance.csv,0.1,0.3,168,"[[747, 3333, 497, 2340], [1099, 5334, 6886, 60], [6316, 7683, 6708, 3245], [1486, 693, 8062, 9837], [6502, 1400, 9566, 3431], [7117, 7893, 1614, 8785], [141, 1291, 4998, 3671], [8289, 9942, 3633, 2621], [4572, 8611, 3214, 915], [9126, 382, 2773, 9425]]",35.918190605647695,58.631795045809305,39.00069332459556,10.547841474376886,65.92258558063838,14.651221828729593,28.45285185021867,51.271363751908794,0.23812917090826832,"[[4863, 22, 75, 0, 0, 0], [373, 4302, 35, 0, 0, 0], [235, 358, 3607, 0, 0, 0], [0, 17, 0, 3613, 1250, 30], [8, 0, 0, 599, 4712, 1], [0, 10, 0, 56, 138, 5166]]","[[4829, 8, 123, 0, 0, 0], [553, 4083, 74, 0, 0, 0], [341, 452, 3407, 0, 0, 0], [0, 8, 0, 3417, 1436, 49], [5, 0, 0, 892, 4422, 1], [0, 1, 0, 124, 111, 5134]]","[[1.0, 0.2524972659826482, 0.15074093714745557], [0.2524972659826482, 1.0, 0.2684517618127508], [0.15074093714745554, 0.2684517618127508, 1.0]]",1008000,36000,1008000,36000
