feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
cardio_7,0.12909860269247936,0.048589341692789945,0.009219712332196078,1.0,1.0,1.0
cardio_8,0.11852243581601761,0.0366771159874608,0.005064418313919598,2.0,2.0,2.0
cardio_1,0.052875986566287725,0.024451410658307204,0.00574617642000732,3.0,7.0,5.0
cardio_9,0.11565356996377878,0.012852664576802463,0.003826506462612466,4.0,3.0,3.5
cardio_17,0.08963343395918338,0.004075235109717868,0.004217437005352246,5.0,4.0,4.5
cardio_3,0.03583699582818801,0.0034482758620689724,0.0029573608564440693,6.0,14.0,10.0
cardio_2,0.019526997298411505,0.0028213166144200772,0.0021943573667711712,7.0,17.0,12.0
cardio_14,0.022936576020886404,0.0012539184952978122,0.0028730882100036765,8.0,16.0,12.0
cardio_10,0.046482852037489766,0.0,0.0019826192226761103,9.0,8.0,8.5
cardio_11,0.042261206456536186,0.0,0.0014019234968650793,9.0,9.0,9.0
cardio_20,0.009196046836875688,0.0,0.0,9.0,18.0,13.5
cardio_15,0.004729306559637496,0.0,0.0,9.0,20.0,14.5
cardio_5,0.0006543274078909053,0.0,0.0,9.0,21.0,15.0
cardio_6,0.03878767589230771,-0.00031347962382445306,0.0009404388714733592,14.0,12.0,13.0
cardio_0,0.04129867214995159,-0.0006269592476489061,0.0023458667001717624,15.0,10.0,12.5
cardio_4,0.008638410537900043,-0.0006269592476489061,0.0012539184952978122,15.0,19.0,17.0
cardio_12,0.03960830722687514,-0.0009404388714733591,0.0024483541303782744,17.0,11.0,14.0
cardio_13,0.032611204019901426,-0.0012539184952978122,0.0020793885832949325,18.0,15.0,16.5
cardio_16,0.060425801471094,-0.0021943573667711712,0.002007248977251687,19.0,5.0,12.0
cardio_19,0.03763480371081402,-0.0025078369905956245,0.0012539184952978122,20.0,13.0,16.5
cardio_18,0.053586787547493214,-0.0037617554858934365,0.0036557692130691727,21.0,6.0,13.5
