feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
emg_580,0.01879889618585848,0.0,0.0,1.0,1.0,1.0
emg_568,0.013133984182669447,0.0,0.0,1.0,2.0,1.5
emg_592,0.01296967057205795,0.0,0.0,1.0,3.0,2.0
emg_824,0.011975920810270754,0.0,0.0,1.0,4.0,2.5
emg_572,0.011884107700405813,0.0,0.0,1.0,5.0,3.0
emg_560,0.011504401271625487,0.0,0.0,1.0,6.0,3.5
emg_564,0.01064692434387195,0.0,0.0,1.0,7.0,4.0
emg_820,0.01063809961300714,0.0,0.0,1.0,8.0,4.5
emg_812,0.01044656023652645,0.0,0.0,1.0,9.0,5.0
emg_676,0.0093696440206619,0.0,0.0,1.0,10.0,5.5
emg_848,0.009224597034551144,0.0,0.0,1.0,11.0,6.0
emg_544,0.00921271498658095,0.0,0.0,1.0,12.0,6.5
emg_816,0.008811626706006293,0.0,0.0,1.0,14.0,7.5
emg_828,0.00878564022957701,0.0,0.0,1.0,15.0,8.0
emg_588,0.008625322745599571,0.0,0.0,1.0,16.0,8.5
emg_804,0.008465681970980098,0.0,0.0,1.0,17.0,9.0
emg_556,0.008382627833620876,0.0,0.0,1.0,18.0,9.5
emg_552,0.008016284195723943,0.0,0.0,1.0,19.0,10.0
emg_808,0.007958320698187953,0.0,0.0,1.0,20.0,10.5
emg_788,0.007732375386118809,0.0,0.0,1.0,21.0,11.0
emg_860,0.007403439128283483,0.0,0.0,1.0,22.0,11.5
emg_680,0.007314990661981314,0.0,0.0,1.0,23.0,12.0
emg_688,0.007201933630674273,0.0,0.0,1.0,24.0,12.5
emg_576,0.007104794009980941,0.0,0.0,1.0,25.0,13.0
emg_852,0.006597750858815676,0.0,0.0,1.0,26.0,13.5
emg_668,0.006448778292195269,0.0,0.0,1.0,27.0,14.0
emg_540,0.006447750914809376,0.0,0.0,1.0,28.0,14.5
emg_864,0.006254447284114442,0.0,0.0,1.0,29.0,15.0
emg_656,0.006100962760149225,0.0,0.0,1.0,30.0,15.5
emg_776,0.005949376056938999,0.0,0.0,1.0,31.0,16.0
emg_596,0.005634193725451448,0.0,0.0,1.0,32.0,16.5
emg_792,0.005577881818570606,0.0,0.0,1.0,33.0,17.0
emg_672,0.005430143469456445,0.0,0.0,1.0,34.0,17.5
emg_708,0.005344462499293899,0.0,0.0,1.0,35.0,18.0
emg_608,0.005257048605744127,0.0,0.0,1.0,36.0,18.5
emg_832,0.005172540850601425,0.0,0.0,1.0,37.0,19.0
emg_660,0.0051067098978478265,0.0,0.0,1.0,38.0,19.5
emg_784,0.00504230076447473,0.0,0.0,1.0,39.0,20.0
emg_644,0.004969598888610781,0.0,0.0,1.0,40.0,20.5
emg_752,0.004895208113501047,0.0,0.0,1.0,41.0,21.0
emg_740,0.004799390741354338,0.0,0.0,1.0,42.0,21.5
emg_836,0.004624474495909875,0.0,0.0,1.0,43.0,22.0
emg_880,0.004570774497193101,0.0,0.0,1.0,44.0,22.5
emg_624,0.00445198493101803,0.0,0.0,1.0,45.0,23.0
emg_696,0.0044191976559626025,0.0,0.0,1.0,46.0,23.5
emg_684,0.004318904435173625,0.0,0.0,1.0,47.0,24.0
emg_704,0.004229114794508828,0.0,0.0,1.0,48.0,24.5
emg_616,0.004212479662929846,0.0,0.0,1.0,49.0,25.0
emg_636,0.004005150757337258,0.0,0.0,1.0,50.0,25.5
emg_600,0.003988162599065687,0.0,0.0,1.0,51.0,26.0
