feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
har_166,0.0023396284913877042,0.0014276002719239345,0.00020394289598911762,1.0,109.0,55.0
har_57,0.014506835133106593,0.0013596193065942175,0.0006080402386131398,2.0,10.0,6.0
har_37,0.005850149928497334,0.0012916383412645116,0.0006413311442594617,3.0,44.0,23.5
har_54,0.009992088192370747,0.0008837525492862875,0.0003115279194395458,4.0,14.0,9.0
har_461,0.0017680693593498734,0.0007477906186268757,0.00020394289598911762,5.0,128.0,66.5
har_51,0.008810259673722226,0.0007477906186268424,0.0005646923088319853,6.0,18.0,12.0
har_169,0.0007131586781906303,0.0006798096532971698,0.0,7.0,218.0,112.5
har_537,0.0006661907475936105,0.0006798096532971698,0.0,7.0,228.0,117.5
har_22,0.0011747129667373317,0.0006798096532971587,0.00030402011930658236,9.0,162.0,85.5
har_102,0.006737100279410431,0.0006118286879674528,0.00020394289598915094,10.0,35.0,22.5
har_176,0.0013897216880955007,0.0006118286879674528,0.00020394289598915094,10.0,147.0,78.5
har_198,0.0005024538886183079,0.0006118286879674528,0.00020394289598915096,10.0,257.0,133.5
har_465,0.00036635246453417254,0.0006118286879674528,0.00020394289598915094,10.0,322.0,166.0
har_129,0.0027057407655745563,0.0005438477226377359,0.00027192386131886793,14.0,95.0,54.5
har_469,0.00043207037177939915,0.0005438477226377359,0.00027192386131886793,14.0,285.0,149.5
har_163,0.002030538651015763,0.0005438477226377136,0.0005087229621718819,16.0,118.0,67.0
har_504,0.006931482315240607,0.00047586675730801884,0.000530948312434201,17.0,31.0,24.0
har_9,0.006691516244967802,0.00047586675730801884,0.000530948312434201,17.0,36.0,26.5
har_507,0.005520610994654597,0.00047586675730801884,0.00031152791943959664,17.0,52.0,34.5
har_503,0.007125841394646968,0.0004758667573080078,0.0004352905667867704,20.0,30.0,25.0
har_451,0.003211633804120543,0.0004758667573080078,0.0004352905667867704,20.0,81.0,50.5
har_302,0.004005599475457526,0.000407885791978313,0.0004509347097696338,22.0,67.0,44.5
har_53,0.022544291694385335,0.00040788579197830187,0.0011852886318261674,23.0,9.0,16.0
har_275,0.0007725657968994477,0.00040788579197830187,0.0003330373545592812,23.0,201.0,112.0
har_450,0.0052902749874076845,0.00040788579197829076,0.0004509347097696371,25.0,53.0,39.0
har_403,0.004765280535630632,0.0003399048266485849,0.0003399048266485849,26.0,58.0,42.0
har_448,0.002088366373144524,0.0003399048266485849,0.0003399048266485849,26.0,117.0,71.5
har_512,0.001759144365749265,0.0003399048266485849,0.0003399048266485849,26.0,129.0,77.5
har_362,0.000453765402413002,0.0003399048266485849,0.0003399048266485849,26.0,278.0,152.0
har_259,0.0003438237167169291,0.0003399048266485849,0.0003399048266485849,26.0,337.0,181.5
har_310,0.005586313527573686,0.0003399048266485627,0.0005480800644662844,31.0,51.0,41.0
har_209,0.0046449092641012305,0.0002719238613188901,0.0007570039922270851,32.0,60.0,46.0
har_505,0.0026274970632664692,0.00027192386131887904,0.0004509347097696371,33.0,97.0,65.0
har_369,0.002941803289272815,0.00027192386131886793,0.0003330373545592812,34.0,88.0,61.0
har_206,0.0014891993190230192,0.00020394289598917313,0.0005309483124342066,35.0,139.0,87.0
har_560,0.010030537480625828,0.00020394289598916205,0.0006118286879673998,36.0,13.0,24.5
har_65,0.00687379050808353,0.00020394289598916205,0.0004352905667867704,36.0,32.0,34.0
har_268,0.00429585361112304,0.00020394289598916205,0.0004352905667867704,36.0,64.0,50.0
har_274,0.0031330586849217345,0.00020394289598916205,0.0004352905667867704,36.0,83.0,59.5
har_202,0.006203655157460245,0.00020394289598915094,0.00031152791943959664,40.0,43.0,41.5
har_179,0.0045144286509803564,0.00020394289598915094,0.00031152791943959664,40.0,61.0,50.5
har_226,0.0039229968005574595,0.00020394289598915094,0.00031152791943959664,40.0,70.0,55.0
