feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
iso_361,0.0058655328832292455,0.003525641025641013,0.0009178090425177118,1.0,12.0,6.5
iso_137,0.0040283450228836394,0.003461538461538449,0.0014390989949130495,2.0,52.0,27.0
iso_203,0.0033329327267728106,0.0032051282051281937,0.0004965363264368465,3.0,78.0,40.5
iso_580,0.004879724832641511,0.0031410256410256297,0.00044871794871794715,4.0,26.0,15.0
iso_69,0.003001486803320992,0.0031410256410256297,0.0006047423802600366,4.0,102.0,53.0
iso_576,0.003138562886057765,0.003012820512820502,0.0006442227962256958,6.0,88.0,47.0
iso_480,0.00549455415971793,0.0026923076923076827,0.000850416612911638,7.0,17.0,12.0
iso_359,0.002402996354910968,0.0026923076923076827,0.0011750194089630316,7.0,133.0,70.0
iso_414,0.005294779240143523,0.002628205128205119,0.0006692504172378535,9.0,19.0,14.0
iso_362,0.0032532406051637482,0.002628205128205119,0.0009267200188974943,9.0,81.0,45.0
iso_394,0.011005154895052747,0.002499999999999991,0.0019112886558814773,11.0,1.0,6.0
iso_296,0.0020572320239014763,0.002499999999999991,0.0009700478173347117,11.0,157.0,84.0
iso_330,0.004089739874576994,0.0024358974358974273,0.001538461538461533,13.0,49.0,31.0
iso_452,0.003978610591323119,0.0024358974358974273,0.0017152677128537954,13.0,53.0,33.0
iso_455,0.0035514794903803233,0.0024358974358974273,0.0009421114395319882,13.0,69.0,41.0
iso_101,0.002975478229283604,0.0024358974358974273,0.000984762275367767,13.0,104.0,58.5
iso_180,0.0038563143303833093,0.0023076923076922997,0.0007692307692307664,17.0,58.0,37.5
iso_516,0.0030167748616042505,0.0023076923076922997,0.0008695294850160569,17.0,101.0,59.0
iso_9,0.003453853297543089,0.0022435897435897356,0.0009178090425177118,19.0,76.0,47.5
iso_170,0.004443217862823086,0.0021794871794871716,0.0008209133637734392,20.0,36.0,28.0
iso_5,0.002118703597915732,0.0021794871794871716,0.0012884455924513916,20.0,152.0,86.0
iso_37,0.0020063433523701364,0.0021794871794871716,0.0011176663957796558,20.0,159.0,89.5
iso_12,0.0018182432204996882,0.0021794871794871716,0.0009155677472490802,20.0,183.0,101.5
iso_133,0.006693161206776398,0.002115384615384608,0.0014631682321170883,24.0,9.0,16.5
iso_103,0.004402426941546386,0.002115384615384608,0.0011121379213395776,24.0,37.0,30.5
iso_552,0.0016462335124913625,0.002115384615384608,0.0008133703551570175,24.0,204.0,114.0
iso_357,0.002246427475411354,0.0019871794871794803,0.0008812645567222738,27.0,144.0,85.5
iso_484,0.0015177400796699638,0.0019871794871794803,0.0009700478173347117,27.0,227.0,127.0
iso_412,0.007005147552016215,0.0019230769230769162,0.00028667538173074127,29.0,7.0,18.0
iso_363,0.004101760699389172,0.0019230769230769162,0.0015169435341281013,29.0,48.0,38.5
iso_383,0.0033905681310415683,0.0019230769230769162,0.000993072652873693,29.0,77.0,53.0
iso_77,0.0018739266524685383,0.0019230769230769162,0.0014333769086537062,29.0,171.0,100.0
iso_47,0.0017348694306484713,0.0019230769230769162,0.0007022084070579029,29.0,190.0,109.5
iso_204,0.003560723160724526,0.0018589743589743524,0.0006692504172378535,34.0,68.0,51.0
iso_166,0.003236834020672779,0.0018589743589743524,0.0006047423802600366,34.0,82.0,58.0
iso_297,0.0030285854318774052,0.0018589743589743524,0.0004487179487179471,34.0,100.0,67.0
iso_538,0.001265373439610988,0.0018589743589743524,0.0005324758886485926,34.0,267.0,150.5
iso_433,0.0009555508092765598,0.0018589743589743524,0.0005324758886485927,34.0,337.0,185.5
iso_199,0.0027811161217378777,0.0017948717948717886,0.0008006407690254328,39.0,112.0,75.5
iso_73,0.0015208218241090756,0.0017948717948717886,0.0006904057445044212,39.0,226.0,132.5
iso_534,0.0010539011340187157,0.0017948717948717886,0.0007475579352365744,39.0,312.0,175.5
iso_331,0.0025120189145165493,0.0017307692307692245,0.0009088106973562676,42.0,127.0,84.5
iso_74,0.00214721166253707,0.0017307692307692245,0.0009951394036064082,42.0,150.0,96.0
iso_539,0.000956182287338249,0.0017307692307692245,0.0006442227962256958,42.0,336.0,189.0
iso_194,0.0005085554561502836,0.0017307692307692245,0.0005006570305068351,42.0,499.0,270.5
iso_415,0.004264586289276146,0.0016666666666666607,0.0005128205128205111,46.0,42.0,44.0
iso_105,0.003956054105379691,0.0016666666666666607,0.0010415433852097348,46.0,54.0,50.0
iso_512,0.0036928417574590864,0.0016666666666666607,0.0013808114890088421,46.0,64.0,55.0
iso_107,0.00305848080608124,0.0016666666666666607,0.0013199525821778158,46.0,96.0,71.0
iso_300,0.0016066239475818935,0.0016666666666666607,0.0006537204504606112,46.0,209.0,127.5
iso_507,0.0012574573938569688,0.0016666666666666607,0.0005875097044815158,46.0,269.0,157.5
iso_354,0.0009986614051800743,0.0016666666666666607,0.00031403714651066273,46.0,325.0,185.5
iso_240,0.0009023145144664612,0.0016666666666666607,0.0006537204504606111,46.0,358.0,202.0
iso_583,0.007165756565242599,0.0016025641025640969,0.0009615384615384581,54.0,5.0,29.5
iso_200,0.0047843720741398595,0.0016025641025640969,0.0009178090425177117,54.0,28.0,41.0
iso_179,0.004076814349264793,0.0016025641025640969,0.0010435141407756185,54.0,51.0,52.5
iso_265,0.0037655673058813615,0.0016025641025640969,0.0007718970883841187,54.0,60.0,57.0
iso_167,0.0035056991272497434,0.0016025641025640969,0.0008718891351753459,54.0,72.0,63.0
iso_202,0.00349997712560608,0.0016025641025640969,0.0005909964395700547,54.0,73.0,63.5
iso_45,0.0021465442775248232,0.0016025641025640969,0.0005909964395700548,54.0,151.0,102.5
iso_160,0.0009577328121161936,0.0016025641025640969,0.0004300130725961119,54.0,335.0,194.5
iso_42,0.0008086302823113466,0.0016025641025640969,0.0003205128205128194,54.0,384.0,219.0
iso_457,0.004570923224842389,0.001538461538461533,0.0014673747618281483,63.0,35.0,49.0
iso_198,0.002930289566454237,0.001538461538461533,0.00100131406101367,63.0,105.0,84.0
iso_161,0.0013646501115527402,0.001538461538461533,0.000512820512820511,63.0,251.0,157.0
iso_540,0.0012905242212629272,0.001538461538461533,0.0006537204504606111,63.0,261.0,162.0
iso_343,0.0008517025227446277,0.001538461538461533,0.000425208306455819,63.0,372.0,217.5
iso_121,0.0003747660896772637,0.001538461538461533,0.0007692307692307665,63.0,582.0,322.5
iso_553,0.001917820676683295,0.0014743589743589692,0.0010356086167566316,69.0,166.0,117.5
iso_263,0.0019066410726560157,0.0014743589743589692,0.0005769230769230749,69.0,169.0,119.0
iso_349,0.0006089267990754455,0.0014743589743589692,0.0005006570305068351,69.0,463.0,266.0
iso_473,0.0030679877211695185,0.0014102564102564052,0.00047969966497101645,72.0,95.0,83.5
iso_426,0.003057701814689838,0.0014102564102564052,0.0013074409009212224,72.0,97.0,84.5
iso_382,0.0025514576089150655,0.0014102564102564052,0.0004796996649710164,72.0,123.0,97.5
iso_487,0.002184285183339271,0.0014102564102564052,0.0008006407690254329,72.0,146.0,109.0
