feature,impurity_importance,perm_importance_mean,perm_importance_std,rank_perm,rank_impurity,rank_avg
px_212,0.005108329294794457,0.0010083333333333778,0.0002897556441785733,1.0,39.0,20.0
px_457,0.004176902757624106,0.0007583333333333719,0.00022189211592824347,2.0,77.0,39.5
px_485,0.004133059786493041,0.0007416666666667071,0.0002699022456783485,3.0,80.0,41.5
px_298,0.004012718827964435,0.0007333333333333636,0.0002708012801545022,4.0,86.0,45.0
px_456,0.0035615715378195553,0.0007000000000000339,0.00014999999999998348,5.0,106.0,55.5
px_516,0.0042640778273477925,0.0006916666666667015,0.00020429417786883188,6.0,71.0,38.5
px_292,0.003623749642039872,0.0006916666666667015,0.000250138850330033,6.0,104.0,55.0
px_211,0.007049532418672416,0.0006833333333333802,0.00039581140290123856,8.0,8.0,8.0
px_429,0.004546841599874817,0.0006833333333333691,0.00023804761428473546,9.0,56.0,32.5
px_270,0.004252678002592146,0.0006750000000000367,0.00016853123680128713,10.0,72.0,41.0
px_461,0.007303932496549348,0.0006666666666667043,0.00024999999999997247,11.0,6.0,8.5
px_319,0.005077643335485902,0.0006250000000000422,0.00019454362549879112,12.0,40.0,26.0
px_354,0.004091278586039547,0.0006250000000000422,0.00015478479684170554,12.0,82.0,47.0
px_433,0.008337833686832418,0.0006083333333333774,0.00011211353372560191,14.0,3.0,8.5
px_430,0.005385946345315926,0.0006083333333333774,0.0001396921217853197,14.0,33.0,23.5
px_514,0.006365858989847683,0.0006000000000000339,0.00028333333333332566,16.0,14.0,15.0
px_377,0.006890943326648003,0.0005916666666667236,0.0003172144385112261,17.0,9.0,13.0
px_345,0.004828688239605191,0.0005916666666667125,0.00013667682889045765,18.0,44.0,31.0
px_517,0.0039029223798918975,0.0005916666666667125,0.00016853123680128713,18.0,91.0,54.5
px_658,0.004362286689619873,0.0005833333333333801,0.00015811388300840154,20.0,65.0,42.5
px_378,0.009648122830297754,0.000583333333333369,0.00022360679774997917,21.0,1.0,11.0
px_513,0.004062369911458494,0.0005750000000000366,0.00031721443851122024,22.0,84.0,53.0
px_268,0.0033972774814080985,0.0005583333333333829,0.00016687486995415484,23.0,118.0,70.5
px_484,0.0032259020943531686,0.0005500000000000504,0.00012472191289245098,24.0,123.0,73.5
px_546,0.0018837546940116711,0.000541666666666718,0.0001717960677340503,25.0,201.0,113.0
px_460,0.006023969932714636,0.0005333333333333746,0.000264049658629241,26.0,17.0,21.5
px_213,0.002921151231614605,0.0005250000000000421,0.00022063670491456424,27.0,140.0,83.5
px_236,0.0032261924957626845,0.0005083333333333884,0.00023109041039767533,28.0,122.0,75.0
px_437,0.006725146702200274,0.0005083333333333773,0.00023109041039769576,29.0,10.0,19.5
px_541,0.004772897587699135,0.0005083333333333773,0.0003172144385112179,29.0,48.0,38.5
px_349,0.0040603345388362565,0.000500000000000056,0.00024438130497689276,31.0,85.0,58.0
px_542,0.005809932737497882,0.0005000000000000449,0.00026087459737497156,32.0,20.0,26.0
px_242,0.0031268350418783594,0.0004833333333333911,0.00017400510848182332,33.0,131.0,82.0
px_547,0.0014066626670612703,0.0004833333333333911,0.00011666666666665382,33.0,260.0,146.5
px_326,0.004517872835468165,0.0004750000000000698,0.0002790111507130536,35.0,58.0,46.5
px_512,0.0027239896688416236,0.0004666666666667263,0.00017559422921419295,36.0,154.0,95.0
px_659,0.0026880597866183703,0.0004666666666667263,0.00013017082793176325,36.0,159.0,97.5
px_545,0.0024410577965280986,0.0004666666666667263,0.00018333333333331314,36.0,166.0,101.0
px_373,0.0055481941297322555,0.0004666666666667152,0.0002505549396395416,39.0,29.0,34.0
px_597,0.004179110348867319,0.0004666666666667152,0.0002533114025595036,39.0,76.0,57.5
px_405,0.007451056960726105,0.000466666666666693,0.00038042374035044324,41.0,5.0,23.0
px_241,0.003148246660882569,0.0004583333333333939,0.00011931517552728981,42.0,127.0,84.5
px_684,0.0016266627253486794,0.00045000000000006146,0.00019790570145061014,43.0,231.0,137.0
px_552,0.001544388416886708,0.00045000000000006146,0.00016749792701866304,43.0,241.0,142.0
px_269,0.003805115926406611,0.00045000000000005035,0.00017950549357115302,45.0,97.0,71.0
px_382,0.0041689838465643475,0.00044166666666672905,0.00016266017746617488,46.0,78.0,62.0
px_207,0.0025011872793551855,0.00043333333333339663,0.00013333333333331865,47.0,164.0,105.5
px_574,0.0018426448276503368,0.00043333333333339663,0.00015275252316517785,47.0,204.0,125.5
px_156,0.005407582857841496,0.0004333333333333744,0.000252212432507029,49.0,32.0,40.5
px_596,0.0045152961068735415,0.00043333333333336335,0.00026562295750850177,50.0,59.0,54.5
px_403,0.004846117615367383,0.0004250000000000642,0.00016853123680128713,51.0,43.0,47.0
px_686,0.001089591214514197,0.0004250000000000642,0.00013149778198381467,51.0,294.0,172.5
px_401,0.004217676771430705,0.0004250000000000531,0.00020564937798754688,53.0,75.0,64.0
px_181,0.002913660159337378,0.0004166666666667318,0.0001666666666666483,54.0,141.0,97.5
px_524,0.001738295927291501,0.0004166666666667318,0.00010540925533893437,54.0,215.0,134.5
px_383,0.0016607457511041447,0.0004166666666667318,0.0001394433377556639,54.0,227.0,140.5
px_243,0.003003949030399044,0.0004166666666667207,0.00017873008824606634,57.0,137.0,97.0
px_352,0.0038691142937219178,0.0004083333333333994,0.00013667682889045765,58.0,92.0,75.0
px_322,0.004414954032788891,0.00040833333333338827,0.00019525624189766335,59.0,61.0,60.0
px_267,0.0039923215584054695,0.00040000000000006697,0.00013844373104861932,60.0,88.0,74.0
px_607,0.0011881945756087302,0.00040000000000006697,9.71825315807443e-05,60.0,287.0,173.5
px_578,0.002093708296785741,0.00040000000000005586,0.000157233018867621,62.0,184.0,123.0
px_406,0.0071537513053569,0.0004000000000000337,0.00031135902820448967,63.0,7.0,35.0
px_402,0.0054406854541701995,0.00039166666666672344,0.00023288647687469898,64.0,31.0,47.5
px_324,0.003507054002339289,0.00039166666666672344,0.00015833333333333753,64.0,110.0,87.0
px_184,0.003684681595570515,0.0003916666666667123,0.0002636548669926102,66.0,98.0,82.0
px_549,0.00228035365870261,0.0003916666666667123,0.0002358495283014299,66.0,176.0,121.0
px_522,0.002056999138558575,0.00038333333333340214,0.00013017082793176325,68.0,186.0,127.0
px_350,0.008933205085060097,0.000383333333333391,0.0002692582403567148,69.0,2.0,35.5
px_214,0.002509297020260662,0.0003750000000000697,0.00010704360482219761,70.0,163.0,116.5
px_182,0.004079071872077026,0.0003750000000000586,0.0002243818669639315,71.0,83.0,77.0
px_577,0.0017922383068432442,0.0003750000000000586,0.00012500000000001215,71.0,209.0,140.0
px_235,0.0032707720205514554,0.0003666666666667373,0.00018333333333331314,73.0,120.0,96.5
px_380,0.004244312392433043,0.0003666666666667262,0.0001632993161855465,74.0,73.0,73.5
px_523,0.002093653416135746,0.0003666666666667262,0.00015898986690282655,74.0,185.0,129.5
px_379,0.004277557365945682,0.00035833333333338266,0.00022063670491456966,76.0,69.0,72.5
px_327,0.003149522136902731,0.00035833333333338266,0.00022684429314694267,76.0,126.0,101.0
px_351,0.005061703960549127,0.00035000000000006136,0.00019649710204252004,78.0,41.0,59.5
px_291,0.004960222864401523,0.00035000000000006136,0.00020000000000000202,78.0,42.0,60.0
px_626,0.0031107447881621167,0.00034166666666672895,0.00018047006523089877,80.0,132.0,106.0
px_300,0.002438553289746534,0.00034166666666672895,0.00014648663192706133,80.0,167.0,123.5
px_374,0.005652158812788847,0.00034166666666671783,0.00019166666666667548,82.0,25.0,53.5
px_550,0.003405432675119807,0.00033333333333340764,0.00016244657241346484,83.0,115.0,99.0
px_385,0.0016762820293433215,0.00033333333333340764,0.00010540925533893437,83.0,222.0,152.5
px_438,0.0029707154226016478,0.00033333333333339653,0.00022973414586816926,85.0,138.0,111.5
px_299,0.0036661858960570265,0.0003333333333333854,0.00026614532371119746,86.0,99.0,92.5
px_150,0.0019058227464595684,0.0003333333333333854,0.00017078251276600697,86.0,199.0,142.5
px_346,0.005364262825237602,0.00033333333333337436,0.0002581988897471721,88.0,35.0,61.5
px_685,0.0014393262091031164,0.00032500000000007523,0.0001261062162534991,89.0,258.0,173.5
