
==============================================
Script,Dimensions,Batch_Size,Mean_Accuracy,Std_Dev,Runs
baseline_mnist.py,1000,1,78.720,0.000,10
baseline_mnist.py,2000,1,79.190,0.000,10
baseline_mnist.py,4000,1,80.290,0.000,10
baseline_mnist.py,6000,1,80.460,0.000,10
baseline_mnist.py,8000,1,80.710,0.000,10
baseline_mnist.py,10000,1,80.750,0.000,10

baseline_mnist.py,4000,1,80.290,0.000,10
baseline_mnist.py,4000,8,80.250,0.000,10
baseline_mnist.py,4000,32,80.250,0.000,10
baseline_mnist.py,4000,64,80.250,0.000,10
baseline_mnist.py,4000,128,80.250,0.000,10
baseline_mnist.py,4000,256,80.250,0.000,10

==============================================
Script,Dimensions,Batch_Size,Mean_Accuracy,Std_Dev,Runs
baseline_isolet.py,4000,1,85.375,0.000,10
baseline_isolet.py,4000,8,85.375,0.000,10
baseline_isolet.py,4000,32,85.375,0.000,10
baseline_isolet.py,4000,64,85.375,0.000,10
baseline_isolet.py,4000,128,85.375,0.000,10
baseline_isolet.py,4000,256,85.375,0.000,10

