Timestamp,Script,Dimensions,Batch_Size,Mean_Accuracy,Std_Dev,Runs
2026-01-17 15:37:51,baseline_ucihar.py,1000,1,79.437,0.000,10
2026-01-17 15:38:51,baseline_ucihar.py,2000,1,83.305,0.000,10
2026-01-17 15:40:01,baseline_ucihar.py,4000,1,84.425,0.000,10
2026-01-17 15:41:37,baseline_ucihar.py,6000,1,84.730,0.000,10
2026-01-17 15:43:38,baseline_ucihar.py,8000,1,85.273,0.000,10
2026-01-17 15:46:03,baseline_ucihar.py,10000,1,86.121,0.000,10

2026-01-17 15:48:08,baseline_ucihar.py,4000,1,84.425,0.000,10
2026-01-17 15:49:08,baseline_ucihar.py,4000,8,84.425,0.000,10
2026-01-17 15:49:58,baseline_ucihar.py,4000,32,84.425,0.000,10
2026-01-17 15:50:48,baseline_ucihar.py,4000,64,84.425,0.000,10
2026-01-17 15:51:38,baseline_ucihar.py,4000,128,84.425,0.000,10
2026-01-17 15:52:27,baseline_ucihar.py,4000,256,84.425,0.000,10

2026-01-17 15:55:11,baseline_emg.py,1000,1,70.833,0.000,10
2026-01-17 15:56:13,baseline_emg.py,2000,1,70.833,0.000,10
2026-01-17 15:57:23,baseline_emg.py,4000,1,69.940,0.000,10
2026-01-17 15:58:45,baseline_emg.py,6000,1,69.345,0.000,10
2026-01-17 16:00:13,baseline_emg.py,8000,1,70.238,0.000,10
2026-01-17 16:01:49,baseline_emg.py,10000,1,69.643,0.000,10

2026-01-17 16:04:43,baseline_emg.py,4000,1,69.940,0.000,10
2026-01-17 16:05:46,baseline_emg.py,4000,8,69.940,0.000,10
2026-01-17 16:06:46,baseline_emg.py,4000,32,69.940,0.000,10
2026-01-17 16:07:46,baseline_emg.py,4000,64,69.940,0.000,10
2026-01-17 16:08:45,baseline_emg.py,4000,128,69.940,0.000,10
2026-01-17 16:09:44,baseline_emg.py,4000,256,69.940,0.000,10

2026-01-17 16:30:19,baseline_EuroLanguages.py,1000,1,27.205,0.000,10
2026-01-17 16:49:13,baseline_EuroLanguages.py,2000,1,30.605,0.000,10
2026-01-17 17:08:05,baseline_EuroLanguages.py,4000,1,36.190,0.000,10
2026-01-17 17:28:05,baseline_EuroLanguages.py,6000,1,45.214,0.000,10
2026-01-17 17:48:26,baseline_EuroLanguages.py,8000,1,52.190,0.000,10
2026-01-17 18:09:24,baseline_EuroLanguages.py,10000,1,56.852,0.000,10

2026-01-18 12:26:33,baseline_EuroLanguages.py,4000,1,36.190,0.000,10
2026-01-18 12:42:58,baseline_EuroLanguages.py,4000,8,36.010,0.000,10
2026-01-18 12:58:57,baseline_EuroLanguages.py,4000,32,36.010,0.000,10
2026-01-18 13:14:52,baseline_EuroLanguages.py,4000,64,36.010,0.000,10
2026-01-18 13:31:01,baseline_EuroLanguages.py,4000,128,36.010,0.000,10
2026-01-18 13:47:10,baseline_EuroLanguages.py,4000,256,36.010,0.000,10
