Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Ensemble12_Acc,Seeds
1,0.6934523809523809,0.7023809523809523,0.6875,0.6577380952380952,"[89958, 61469, 94784, 10337, 57063, 81717, 12909, 92379, 5981, 98788, 72260, 7279]"
2,0.6726190476190477,0.6636904761904762,0.6726190476190477,0.6666666666666666,"[32428, 55027, 41450, 25026, 46983, 97463, 64393, 44375, 75806, 88378, 37659, 12607]"
3,0.6875,0.6815476190476191,0.6904761904761905,0.6755952380952381,"[13260, 3056, 9513, 66209, 16354, 20742, 88798, 48824, 83907, 51772, 19438, 88216]"
4,0.6726190476190477,0.6696428571428571,0.6875,0.6845238095238095,"[34273, 47682, 21958, 7206, 80847, 72664, 48372, 90177, 15284, 73083, 72759, 21174]"
5,0.6934523809523809,0.6964285714285714,0.6934523809523809,0.6636904761904762,"[73841, 67303, 32039, 25643, 54364, 44220, 20685, 73152, 40489, 30321, 99549, 98857]"
6,0.6666666666666666,0.6904761904761905,0.6934523809523809,0.6934523809523809,"[16179, 5844, 39572, 66685, 77341, 60196, 51840, 12933, 72030, 51953, 2496, 43613]"
7,0.6785714285714286,0.6636904761904762,0.6755952380952381,0.6726190476190477,"[86809, 61639, 96987, 18135, 7713, 5672, 51723, 93926, 52972, 43304, 27016, 11185]"
8,0.6696428571428571,0.6636904761904762,0.6755952380952381,0.6696428571428571,"[2083, 8452, 36744, 2434, 20262, 85059, 14945, 23266, 3819, 30607, 78095, 83347]"
9,0.7023809523809523,0.6904761904761905,0.7023809523809523,0.6934523809523809,"[23191, 8233, 58630, 64440, 51460, 17586, 78886, 16973, 11243, 74586, 3212, 4172]"
10,0.6726190476190477,0.6755952380952381,0.6875,0.6755952380952381,"[2237, 45983, 2305, 83202, 16856, 67773, 91300, 9314, 78558, 35156, 92929, 7971]"
11,0.6875,0.6845238095238095,0.6934523809523809,0.7083333333333334,"[34358, 84008, 62716, 25025, 46962, 74788, 84253, 20145, 21793, 55644, 20364, 43700]"
12,0.6696428571428571,0.6726190476190477,0.6845238095238095,0.6785714285714286,"[59665, 87288, 88153, 87445, 34912, 71638, 57914, 9112, 20859, 73484, 96056, 48792]"
13,0.6696428571428571,0.6934523809523809,0.6845238095238095,0.6934523809523809,"[80420, 88394, 96220, 86283, 74985, 66478, 31056, 5033, 43977, 51537, 68126, 15721]"
14,0.6785714285714286,0.6815476190476191,0.6964285714285714,0.6934523809523809,"[25327, 2933, 80291, 79653, 9438, 1164, 33870, 74175, 86428, 75650, 9750, 31257]"
15,0.6755952380952381,0.6785714285714286,0.6845238095238095,0.6904761904761905,"[70957, 95203, 10227, 43357, 43997, 69624, 58481, 81187, 96391, 36419, 57935, 89430]"
16,0.6815476190476191,0.6875,0.6785714285714286,0.6845238095238095,"[91504, 23013, 72136, 51350, 17949, 78588, 48250, 25386, 62904, 5823, 47238, 54654]"
17,0.6547619047619048,0.6755952380952381,0.6875,0.6934523809523809,"[64943, 53241, 98440, 19711, 32446, 82195, 53839, 24095, 52244, 62196, 32563, 25797]"
18,0.6785714285714286,0.6785714285714286,0.6815476190476191,0.6934523809523809,"[93313, 58227, 7405, 44723, 39169, 63439, 7622, 26150, 74462, 98841, 48216, 4223]"
19,0.6845238095238095,0.6785714285714286,0.6845238095238095,0.6815476190476191,"[93728, 26671, 76515, 61996, 24377, 93391, 75688, 3158, 43642, 54643, 68515, 52603]"
20,0.6815476190476191,0.6666666666666666,0.6815476190476191,0.6845238095238095,"[25662, 58019, 57085, 99385, 74774, 57695, 28492, 53331, 332, 18617, 58318, 87131]"
21,0.6785714285714286,0.6577380952380952,0.6726190476190477,0.6785714285714286,"[79279, 8435, 61530, 60602, 7581, 80814, 31542, 26922, 8344, 62435, 41618, 20228]"
22,0.6994047619047619,0.6785714285714286,0.6934523809523809,0.6845238095238095,"[89608, 30741, 41016, 31593, 1888, 93788, 73713, 59467, 57963, 76508, 48140, 44556]"
23,0.6815476190476191,0.6845238095238095,0.6845238095238095,0.6904761904761905,"[30885, 3131, 71379, 77370, 55506, 86093, 10972, 15740, 94056, 26941, 28409, 89351]"
24,0.6934523809523809,0.6964285714285714,0.6666666666666666,0.6845238095238095,"[49088, 49611, 19099, 28719, 91311, 41962, 28713, 84153, 73642, 49556, 54198, 22458]"
25,0.6815476190476191,0.6726190476190477,0.6845238095238095,0.6517857142857143,"[27929, 91486, 45308, 6344, 18384, 95225, 78156, 24041, 23956, 27118, 53435, 15912]"
26,0.6815476190476191,0.6785714285714286,0.6875,0.6845238095238095,"[85699, 91805, 88019, 60124, 31288, 58, 60109, 83001, 62801, 66655, 86062, 2682]"
27,0.6815476190476191,0.6666666666666666,0.6726190476190477,0.6875,"[42150, 15964, 94159, 5307, 11846, 95852, 75488, 15793, 37483, 79378, 98648, 26273]"
28,0.6815476190476191,0.6934523809523809,0.6815476190476191,0.6815476190476191,"[6212, 61215, 13593, 17227, 26561, 77259, 73621, 46920, 59638, 72377, 19811, 13790]"
29,0.6934523809523809,0.6845238095238095,0.6934523809523809,0.6875,"[71486, 90769, 5633, 78234, 57955, 22234, 96596, 24291, 95171, 34300, 84292, 28315]"
30,0.6934523809523809,0.6875,0.6904761904761905,0.6815476190476191,"[83183, 26901, 18676, 97456, 34430, 84936, 72896, 63009, 45775, 83924, 16858, 98211]"
31,0.6934523809523809,0.6815476190476191,0.6845238095238095,0.6904761904761905,"[6090, 37224, 50008, 42053, 18033, 972, 38614, 88379, 82262, 51312, 52280, 76299]"
32,0.6904761904761905,0.6815476190476191,0.6696428571428571,0.6904761904761905,"[658, 9049, 25653, 63024, 93498, 77256, 72863, 84939, 20545, 43431, 5079, 49317]"
33,0.6815476190476191,0.6815476190476191,0.6815476190476191,0.6726190476190477,"[18349, 8134, 46717, 73901, 65447, 2599, 25576, 99410, 94454, 49385, 1324, 38965]"
34,0.6815476190476191,0.6755952380952381,0.6904761904761905,0.6815476190476191,"[43810, 13478, 96077, 79830, 99059, 213, 25828, 25348, 9749, 27934, 84004, 87454]"
35,0.6875,0.6904761904761905,0.6696428571428571,0.6666666666666666,"[10882, 53056, 68222, 31899, 50299, 94955, 4365, 90449, 42447, 36083, 21337, 74804]"
36,0.6607142857142857,0.6696428571428571,0.6636904761904762,0.6845238095238095,"[77762, 58458, 6643, 66131, 45684, 23373, 86343, 27446, 1944, 89400, 97766, 50758]"
