Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Seeds
1,0.8595253367543297,0.8652982681205901,0.8678640153944837,"[7860, 2642, 2108, 4113, 3009, 8648]"
2,0.8614496472097498,0.8595253367543297,0.8569595894804362,"[8823, 8190, 5877, 3235, 2523, 7955]"
3,0.8646568313021168,0.8659397049390635,0.8749198203976908,"[6403, 2501, 6831, 2280, 8105, 8349]"
4,0.8608082103912764,0.8678640153944837,0.8608082103912764,"[7887, 442, 3601, 2591, 8697, 9161]"
5,0.8736369467607441,0.8659397049390635,0.8665811417575369,"[6581, 5908, 5640, 3029, 6834, 228]"
6,0.8531109685695959,0.8543938422065427,0.8550352790250161,"[3453, 9335, 4181, 5433, 7302, 2745]"
7,0.849903784477229,0.8601667735728031,0.8672225785760103,"[3857, 5333, 4132, 1370, 8968, 5854]"
8,0.858242463117383,0.8492623476587556,0.8723540731237973,"[5987, 7250, 2924, 392, 6044, 8294]"
9,0.8543938422065427,0.8723540731237973,0.8717126363053239,"[4242, 4182, 218, 7739, 3175, 5653]"
10,0.8595253367543297,0.8678640153944837,0.8665811417575369,"[2096, 5888, 4818, 9252, 3103, 7485]"
11,0.8640153944836434,0.8652982681205901,0.8576010262989096,"[4944, 1423, 8330, 8361, 5404, 3434]"
12,0.8601667735728031,0.8627325208466966,0.8665811417575369,"[27, 6832, 6311, 4260, 8653, 9591]"
13,0.8550352790250161,0.8627325208466966,0.8614496472097498,"[3667, 7199, 8488, 1120, 3843, 9521]"
14,0.8601667735728031,0.8627325208466966,0.8627325208466966,"[6414, 9508, 6884, 630, 1651, 4387]"
15,0.8646568313021168,0.8672225785760103,0.8736369467607441,"[416, 4513, 8118, 8268, 3883, 2622]"
16,0.858242463117383,0.8710711994868505,0.8614496472097498,"[7197, 6730, 3505, 4274, 9099, 5752]"
17,0.8569595894804362,0.8614496472097498,0.8620910840282232,"[5737, 9669, 2712, 4884, 8065, 7124]"
18,0.858242463117383,0.8646568313021168,0.8614496472097498,"[8600, 9571, 7482, 7458, 5209, 2468]"
19,0.8678640153944837,0.8665811417575369,0.8665811417575369,"[8498, 1052, 4178, 9160, 4249, 804]"
20,0.858242463117383,0.8569595894804362,0.8672225785760103,"[7721, 5630, 823, 8231, 9986, 3639]"
21,0.8640153944836434,0.8595253367543297,0.8672225785760103,"[5319, 2440, 375, 9589, 1719, 8605]"
22,0.8665811417575369,0.8627325208466966,0.8678640153944837,"[838, 3784, 8367, 668, 1782, 3072]"
23,0.8627325208466966,0.8588838999358563,0.8652982681205901,"[7117, 669, 8670, 9977, 894, 5751]"
24,0.8595253367543297,0.8659397049390635,0.8704297626683771,"[5269, 2104, 1879, 7676, 5835, 2692]"
25,0.868505452212957,0.8717126363053239,0.8665811417575369,"[6588, 740, 7404, 9990, 3749, 8598]"
26,0.8543938422065427,0.8652982681205901,0.8608082103912764,"[8408, 1672, 2071, 5140, 9812, 1135]"
27,0.8588838999358563,0.8595253367543297,0.8595253367543297,"[3143, 7273, 3644, 8877, 5951, 9599]"
28,0.8576010262989096,0.8646568313021168,0.8646568313021168,"[1974, 8518, 4971, 3126, 9190, 8867]"
29,0.8640153944836434,0.8627325208466966,0.8652982681205901,"[8469, 3525, 8942, 9114, 3110, 8413]"
30,0.8608082103912764,0.8704297626683771,0.8678640153944837,"[2292, 6941, 6030, 3846, 8522, 332]"
31,0.8614496472097498,0.8550352790250161,0.858242463117383,"[1869, 261, 8426, 3698, 7098, 499]"
32,0.8640153944836434,0.8543938422065427,0.8646568313021168,"[2672, 2773, 2910, 4209, 8860, 5405]"
33,0.8710711994868505,0.8627325208466966,0.8678640153944837,"[7883, 7768, 719, 4581, 8324, 2037]"
34,0.8646568313021168,0.8678640153944837,0.8601667735728031,"[5921, 1553, 2942, 5054, 7670, 3819]"
35,0.8627325208466966,0.8717126363053239,0.8717126363053239,"[7597, 6290, 4496, 3336, 7070, 1069]"
36,0.8806927517639512,0.8531109685695959,0.86337395766517,"[8909, 7514, 41, 4563, 7164, 82]"
37,0.86337395766517,0.8646568313021168,0.8595253367543297,"[8871, 5909, 9739, 6019, 6395, 6663]"
38,0.8620910840282232,0.8620910840282232,0.8659397049390635,"[7510, 1972, 8033, 555, 1236, 4700]"
39,0.8601667735728031,0.8652982681205901,0.8569595894804362,"[2705, 2086, 511, 6911, 475, 7625]"
40,0.8749198203976908,0.8614496472097498,0.858242463117383,"[3921, 1384, 5478, 1061, 1618, 570]"
41,0.8601667735728031,0.8614496472097498,0.868505452212957,"[4872, 2174, 6752, 8308, 7525, 6767]"
42,0.8614496472097498,0.8595253367543297,0.8601667735728031,"[5587, 6604, 4360, 1771, 6463, 1763]"
43,0.8723540731237973,0.8620910840282232,0.8627325208466966,"[8824, 1574, 4334, 8221, 8015, 1964]"
44,0.8614496472097498,0.8691468890314304,0.8652982681205901,"[2121, 6824, 6572, 3471, 6190, 2380]"
45,0.8659397049390635,0.8697883258499037,0.8723540731237973,"[7435, 9891, 3325, 7205, 2013, 2795]"
46,0.8652982681205901,0.8646568313021168,0.8672225785760103,"[7737, 2212, 2054, 4235, 6298, 1897]"
47,0.8749198203976908,0.8665811417575369,0.8665811417575369,"[1871, 8615, 8535, 1130, 6979, 334]"
48,0.868505452212957,0.8614496472097498,0.868505452212957,"[1976, 4210, 5451, 176, 2663, 153]"
49,0.8601667735728031,0.8627325208466966,0.8556767158434894,"[8081, 5437, 5334, 1458, 8879, 8953]"
50,0.8691468890314304,0.8608082103912764,0.8588838999358563,"[4044, 6162, 6384, 9070, 5985, 9413]"
51,0.8710711994868505,0.8691468890314304,0.86337395766517,"[7448, 815, 5647, 1624, 5229, 1158]"
52,0.8697883258499037,0.8697883258499037,0.8704297626683771,"[8601, 700, 2810, 241, 4959, 6447]"
53,0.8665811417575369,0.8505452212957024,0.8576010262989096,"[7714, 8578, 1765, 665, 8933, 8010]"
54,0.8665811417575369,0.8665811417575369,0.8627325208466966,"[5686, 3965, 8910, 1344, 35, 6330]"
55,0.8665811417575369,0.8729955099422707,0.8697883258499037,"[8491, 9307, 3616, 3277, 5292, 2513]"
56,0.8543938422065427,0.8691468890314304,0.8652982681205901,"[8183, 2386, 500, 6743, 369, 8433]"
57,0.8691468890314304,0.8652982681205901,0.8646568313021168,"[3290, 8261, 5681, 4080, 3064, 3656]"
58,0.8620910840282232,0.8608082103912764,0.8717126363053239,"[2706, 5775, 5862, 274, 8829, 4413]"
59,0.8563181526619628,0.8620910840282232,0.8614496472097498,"[2347, 3791, 7959, 4418, 6482, 1448]"
60,0.8556767158434894,0.8614496472097498,0.8659397049390635,"[8889, 5139, 5310, 4240, 5275, 5845]"
61,0.8569595894804362,0.8723540731237973,0.8672225785760103,"[7360, 6999, 1009, 1415, 6145, 409]"
62,0.8665811417575369,0.8665811417575369,0.8608082103912764,"[1227, 1979, 3737, 1850, 3253, 2624]"
63,0.8646568313021168,0.8704297626683771,0.868505452212957,"[5570, 440, 597, 6742, 8737, 7359]"
64,0.8659397049390635,0.8627325208466966,0.8595253367543297,"[4134, 6656, 9585, 86, 3468, 7264]"
65,0.8646568313021168,0.8652982681205901,0.8697883258499037,"[2735, 1268, 8636, 7341, 8158, 2423]"
66,0.8736369467607441,0.8646568313021168,0.8652982681205901,"[1127, 7586, 5277, 289, 5424, 5649]"
67,0.8640153944836434,0.86337395766517,0.86337395766517,"[221, 6559, 9002, 4572, 9007, 5091]"
68,0.8543938422065427,0.8595253367543297,0.8569595894804362,"[7751, 212, 1142, 5146, 5373, 533]"
69,0.8640153944836434,0.8652982681205901,0.8717126363053239,"[9648, 2076, 703, 6241, 8147, 8391]"
70,0.8563181526619628,0.8608082103912764,0.8652982681205901,"[252, 7569, 8834, 5623, 4942, 8593]"
71,0.8595253367543297,0.8595253367543297,0.8543938422065427,"[7365, 2330, 216, 7622, 9765, 931]"
72,0.8601667735728031,0.86337395766517,0.8614496472097498,"[896, 9579, 2929, 3509, 5916, 5841]"
73,0.8678640153944837,0.8678640153944837,0.8672225785760103,"[7988, 6569, 8434, 4312, 3730, 3871]"
74,0.8646568313021168,0.8608082103912764,0.86337395766517,"[3758, 9620, 1670, 5722, 2062, 5524]"
75,0.8729955099422707,0.8595253367543297,0.8672225785760103,"[3429, 5073, 6797, 9225, 4125, 8935]"
76,0.8646568313021168,0.8640153944836434,0.8646568313021168,"[3176, 9057, 6375, 5739, 1683, 370]"
77,0.86337395766517,0.8749198203976908,0.8608082103912764,"[1910, 6982, 5344, 7810, 1351, 4632]"
78,0.8608082103912764,0.8627325208466966,0.8672225785760103,"[8410, 3768, 2056, 6306, 2398, 2279]"
79,0.8665811417575369,0.8588838999358563,0.8441308531109686,"[1809, 7630, 181, 8586, 3614, 8246]"
80,0.8704297626683771,0.8646568313021168,0.8620910840282232,"[9860, 359, 6877, 4487, 6773, 5029]"
81,0.8652982681205901,0.8652982681205901,0.8595253367543297,"[6021, 3264, 105, 1709, 8374, 6684]"
82,0.8556767158434894,0.8640153944836434,0.8640153944836434,"[5484, 1514, 2404, 7039, 9331, 5143]"
83,0.8672225785760103,0.8620910840282232,0.8531109685695959,"[9381, 9142, 5536, 9402, 5363, 8429]"
84,0.8620910840282232,0.868505452212957,0.8614496472097498,"[8787, 3975, 2015, 6385, 5066, 2568]"
85,0.8742783835792175,0.86337395766517,0.8665811417575369,"[1837, 1881, 4099, 4680, 5321, 5810]"
86,0.8697883258499037,0.8640153944836434,0.8646568313021168,"[5116, 3376, 4646, 7209, 6404, 1729]"
87,0.8665811417575369,0.8697883258499037,0.8755612572161642,"[7626, 1724, 2701, 1586, 6493, 7371]"
88,0.8614496472097498,0.8614496472097498,0.8614496472097498,"[3257, 2758, 9129, 7084, 2005, 8451]"
89,0.86337395766517,0.8601667735728031,0.8787684413085312,"[3206, 4640, 2101, 4060, 4698, 7942]"
90,0.8492623476587556,0.858242463117383,0.8550352790250161,"[3162, 8617, 2733, 991, 1697, 600]"
91,0.8659397049390635,0.8697883258499037,0.8550352790250161,"[3797, 3896, 1756, 525, 2775, 9963]"
92,0.8691468890314304,0.8678640153944837,0.8736369467607441,"[573, 3548, 1567, 4772, 6949, 2901]"
93,0.8608082103912764,0.8717126363053239,0.8729955099422707,"[8831, 3877, 6727, 2681, 1319, 9081]"
94,0.8652982681205901,0.8678640153944837,0.8794098781270044,"[4497, 613, 5234, 1257, 1587, 9018]"
95,0.8608082103912764,0.8620910840282232,0.8595253367543297,"[7127, 6655, 4654, 3207, 7729, 7660]"
96,0.8659397049390635,0.8556767158434894,0.8614496472097498,"[7298, 4277, 2257, 205, 3382, 5733]"
97,0.8595253367543297,0.8601667735728031,0.8614496472097498,"[5364, 2036, 1409, 1358, 9453, 2444]"
98,0.858242463117383,0.86337395766517,0.86337395766517,"[5048, 5247, 8665, 250, 6726, 2443]"
99,0.8614496472097498,0.8595253367543297,0.8556767158434894,"[1540, 874, 5760, 8464, 5957, 7464]"
100,0.8659397049390635,0.8704297626683771,0.8595253367543297,"[9317, 5443, 7060, 7178, 5064, 175]"

Average,0.8632905708787685,0.8638871071199486,0.8642527261064785
StdDev,0.005700599142484923,0.004906260054590851,0.005806063580550343
