Experiment,Baseline_Acc,Ensemble3_Acc,Ensemble6_Acc,Seeds
1,0.8544282321004412,0.8605361384458772,0.8527315914489311,"[88459, 55999, 80679, 96090, 94282, 73188]"
2,0.8615541228367831,0.8449270444519851,0.8493383101459111,"[20063, 54541, 52598, 95572, 80364, 33174]"
3,0.8557855446216491,0.8486596538853071,0.8486596538853071,"[60029, 50239, 79076, 99425, 61164, 51807]"
4,0.8635900916185952,0.8581608415337632,0.8557855446216491,"[47351, 46620, 91878, 22509, 87950, 99684]"
5,0.8591788259246692,0.8591788259246692,0.8568035290125552,"[70378, 57992, 97767, 73549, 29747, 40232]"
6,0.850356294536817,0.8486596538853071,0.8608754665761792,"[7102, 78133, 41479, 34650, 53606, 72266]"
7,0.8635900916185952,0.8598574821852731,0.8557855446216491,"[58267, 11757, 4179, 77539, 76527, 92206]"
8,0.8500169664065151,0.8479809976247031,0.8435697319307771,"[95015, 26393, 38563, 78831, 60002, 17346]"
9,0.8551068883610451,0.8496776382762131,0.8489989820156091,"[74568, 61110, 6188, 31123, 70725, 1355]"
10,0.833389888021717,0.8408551068883611,0.850356294536817,"[65632, 49961, 9266, 61530, 31828, 31490]"
11,0.8585001696640652,0.838140481845945,0.845945028842891,"[92743, 88177, 6670, 10010, 68964, 3170]"
12,0.8574821852731591,0.8500169664065151,0.8551068883610451,"[79184, 87997, 65857, 47911, 576, 71204]"
13,0.8581608415337632,0.8554462164913471,0.850356294536817,"[70495, 61880, 98773, 38787, 94909, 4436]"
14,0.8612147947064812,0.8476416694944011,0.8510349507974211,"[76003, 41118, 74370, 7317, 67732, 17684]"
15,0.8445877163216831,0.8557855446216491,0.8527315914489311,"[84134, 73634, 55737, 82072, 68646, 72292]"
16,0.8530709195792331,0.8595181540549711,0.8605361384458772,"[79473, 42068, 40455, 81720, 82375, 94190]"
17,0.8551068883610451,0.8629114353579912,0.8663047166610112,"[57464, 64250, 51603, 51108, 69116, 16633]"
18,0.8598574821852731,0.8578215134034611,0.8473023413640991,"[92909, 90170, 87477, 16216, 96201, 23000]"
19,0.8493383101459111,0.846284356973193,0.8523922633186292,"[69294, 77251, 23407, 37766, 23127, 11324]"
20,0.8520529351883271,0.8523922633186292,0.843909060061079,"[52287, 97226, 9320, 47752, 37419, 36902]"
21,0.8500169664065151,0.8622327790973872,0.8513742789277231,"[6100, 85906, 60761, 79918, 49232, 72125]"
22,0.8564642008822532,0.8506956226671191,0.838140481845945,"[37864, 81998, 54355, 64078, 28969, 93909]"
23,0.8557855446216491,0.8557855446216491,0.8530709195792331,"[55685, 26035, 15158, 19239, 41602, 44611]"
24,0.8391584662368511,0.8625721072276892,0.8618934509670851,"[30674, 69223, 33548, 18273, 31215, 40291]"
